#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:12:08       0     18     42      -      0      0      0      0      0      0    405    180      6      6      0 
 14:12:10       0     21     42      -      0      0      0      0      0      0    405    180      6      6      0 
 14:12:12       0     15     42      -      0      0      0      0      0      0    405    180      6      6      0 
 14:12:14       0     15     42      -      0      0      0      0      0      0    405    180      6      6      0 
 14:12:16       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:18       0     21     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:20       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:22       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:24       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:26       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:28       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:30       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:32       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:34       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:36       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:38       0     15     42      -      0      1      0      0      0      0    405    180      8      6      0 
 14:12:40       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:42       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:44       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:46       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:48       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:50       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:52       0     16     42      -      0      3      0      0      0      0    405    180      8      6      0 
 14:12:54       0     16     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:56       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:12:58       0     15     42      -      0      0      0      0      0      0    405    180      8      6      0 
 14:13:00       0     15     42      -      0      0      0      0      0      0    405    172      8      6      0 
 14:13:02       0     31     43      -     20      3      0      0      0      0  13365   1327   2922      8      0 
 14:13:04       0     99     44      -     39      9      0      0      0      0  13365   2280   9622      8      0 
 14:13:06       0    101     44      -     39      9      0      0      0      0  13365   2310  15924      8      0 
 14:13:08       0     76     44      -      0      0      0      0      0      0  13365   2325  16758      8      0 
 14:13:10       0     72     44      -      0      0      0      0      0      0  13365   2272  16758      8      0 
 14:13:12       0     72     44      -      0      0      0      0      0      0  13365   2272  16758      8      0 
 14:13:14       0     72     45      -      0      0      0      0      0      0  13365   2272  16758      8      0 
 14:13:16       0     72     45      -      0      0      0      0      0      0  13365   2272  16758      8      0 
 14:13:18       0    203     51      -     93     52      0      0      0      0  13365   2092  19826      8      0 
 14:13:20       0    296     51      -     82     46      0      0      0      0  13365   2017  19826      8      0 
 14:13:22       0    301     55      -     93     52      0      0      0      0  13365   1972  19826      8      0 
 14:13:24       0    299     56      -     92     52      0      0      0      0  13365   2070  19826      8      0 
 14:13:26       0    302     57      -     92     57      0      0      0      0  13365   2025  18300      8      0 
 14:13:28       0    299     58      -     93     52      0      0      0      0  13365   2010  19826      8      0 
 14:13:30       0    296     58      -     82     48      0      0      0      0  13365   1995  19826      8      0 
 14:13:32       0    300     61      -     93     52      0      0      0      0  13365   1957  19826      8      0 
 14:13:34       0    299     62      -     89     51      0      0      0      0  13365   2047  19826      8      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:13:36       0    300     63      -     94     51      0      0      0      0  13365   1950  18304      8      0 
 14:13:38       0    299     64      -     90     50      0      0      0      0  13365   1965  19826      8      0 
 14:13:40       0    299     65      -     93     53      0      0      0      0  13365   1972  19826      8      0 
 14:13:42       0    300     66      -     93     51      0      0      0      0  13365   1980  19826      8      0 
 14:13:44       0    299     67      -     90     51      0      0      0      0  13365   2040  19826      8      0 
 14:13:46       0    299     67      -     93     57      0      0      0      0  13365   1965  18304      8      0 
 14:13:48       0    300     68      -     93     56      0      0      0      0  13365   1957  19826      8      0 
 14:13:50       0    299     70      -     92     52      0      0      0      0  13365   1950  19826      8      0 
 14:13:52       0    300     70      -     93     51      0      0      0      0  13365   1942  19826      8      0 
 14:13:54       0    299     71      -     94     52      0      0      0      0  13365   1995  19826      8      0 
 14:13:56       0    299     71      -     90     50      0      0      0      0  13365   1957  18302      8      0 
 14:13:58       0    300     72      -     93     51      0      0      0      0  13365   1950  19826      8      0 
 14:14:00       0    153     68      -      0      0      0      0      0      0  13365   2332  19826      8      0 
 14:14:02       0    301     73      -     93     37      0      0      0      0  13365   2100  76944      8      0 
 14:14:04       0    287     71      -     32     11      0      0      0      0  13365   2107  76978      8      0 
 14:14:06       0    300     75      -     90     45      0      0      0      0  13365   2107  76996      8      0 
 14:14:08       0    300     75      -     91     48      0      0      0      0  13365   2047  76996      8      0 
 14:14:10       0    298     76      -     82     34      0      0      0      0  13365   2100  76996      8      0 
 14:14:12       0    300     76      -     91     39      0      0      0      0  13365   2115  76996      8      0 
 14:14:14       0    272     73      -      0      0      0      0      0      0  13365   2152  76996      8      0 
 14:14:16       0    299     77      -     82     34      0      0      0      0  13365   2100  76996      8      0 
 14:14:18       0    300     77      -     92     39      0      0      0      0  13365   2115  76996      8      0 
 14:14:20       0    300     77      -     93     46      0      0      0      0  13365   2115  76996      8      0 
 14:14:22       0    299     78      -     94     36      0      0      0      0  13365   2025  76996      8      0 
 14:14:25       0    300     78      -     94     36      0      0      0      0  13365   2062  76996      8      0 
 14:14:27       0    300     79      -     94     36      0      0      0      0  13365   2077  76996      8      0 
 14:14:29       0    300     79      -     94     36      0      0      0      0  13365   2010  76996      8      0 
 14:14:31       0    302     79      -     94     36      0      0      0      0  13365   2115  76996      8      0 
 14:14:33       0    300     80      -     94     36      0      0      0      0  13365   2010  76996      8      0 
 14:14:35       0    299     80      -     74     30      0      0      0      0  13365   2017  76996      8      0 
 14:14:37       0    299     80      -     91     40      0      0      0      0  13365   2017  76996      8      0 
 14:14:39       0    300     81      -     92     38      0      0      0      0  13365   2047  76996      8      0 
 14:14:41       0    299     81      -     95     43      0      0      0      0  13365   2062  76996      8      0 
 14:14:43       0    299     81      -     94     35      0      0      0      0  13365   2062  76996      8      0 
 14:14:45       0    300     82      -     93     36      0      0      0      0  13365   2062  76996      8      0 
 14:14:47       0    299     81      -     94     34      0      0      0      0  13365   2047  76996      8      0 
 14:14:49       0    298     82      -     94     35      0      0      0      0  13365   2062  76996      8      0 
 14:14:51       0    299     82      -     82     40      0      0      0      0  13365   1972  76996      8      0 
 14:14:53       0    300     82      -     87     38      0      0      0      0  13365   2070  76996      8      0 
 14:14:55       0    300     82      -     92     38      0      0      0      0  13365   2032  76996      8      0 
 14:14:57       0    300     82      -     94     44      0      0      0      0  13365   2055  76996      8      0 
 14:14:59       0    300     82      -     95     43      0      0      0      0  13365   2055  76996      8      0 
 14:15:01       0    269     82      -     91     40      0      0      0      0  13365   2055  76996      8      0 
 14:15:03       0    299     83      -     94     43      0      0      0      0  13365   2047  76996      8      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:15:05       0    300     83      -     94     35      0      0      0      0  13365   2055  76996      8      0 
 14:15:07       0    300     83      -     94     36      0      0      0      0  13365   2047  76996      8      0 
 14:15:09       0    297     82      -     93     36      0      0      0      0  13365   2055  76996      8      0 
 14:15:11       0    300     84      -     94     35      0      0      0      0  13365   2032  76996      8      0 
 14:15:13       0    300     83      -     94     35      0      0      0      0  13365   2085  76996      8      0 
 14:15:15       0    262     84      -     83     32      0      0      0      0  13365   2242  76996      8      0 
 14:15:17       0    299     84      -     94     36      0      0      0      0  13365   1995  76996      8      0 
 14:15:19       0    299     84      -     83     31      0      0      0      0  13365   1950  76996      8      0 
 14:15:21       0    299     84      -     76     33      0      0      0      0  13365   1987  76996      8      0 
 14:15:23       0    299     84      -     92     38      0      0      0      0  13365   2017  76996      8      0 
 14:15:25       0    299     84      -     93     42      0      0      0      0  13365   2032  76996      8      0 
 14:15:27       0    300     85      -     94     35      0      0      0      0  13365   2040  76996      8      0 
 14:15:29       0    302     84      -     94     35      0      0      0      0  13365   2055  76996      8      0 
 14:15:31       0    308     84      -     94     36      0      0      0      0  13365   2070  76996      8      0 
 14:15:33       0    300     84      -     94     36      0      0      0      0  13365   2047  76996      8      0 
 14:15:35       0    300     84      -     94     36      0      0      0      0  13365   1987  76996      8      0 
 14:15:37       0    299     85      -     92     38      0      0      0      0  13365   2010  76996      8      0 
 14:15:39       0    300     85      -     92     38      0      0      0      0  13365   2032  76996      8      0 
 14:15:41       0    300     85      -     93     41      0      0      0      0  13365   2047  76996      8      0 
 14:15:43       0    300     85      -     95     43      0      0      0      0  13365   2025  76996      8      0 
 14:15:45       0    299     85      -     94     35      0      0      0      0  13365   2040  76996      8      0 
 14:15:47       0    300     85      -     91     39      0      0      0      0  13365   2040  76996      8      0 
 14:15:49       0    300     85      -     93     48      0      0      0      0  13365   1950  76996      8      0 
 14:15:51       0    299     85      -     94     35      0      0      0      0  13365   2040  76996      8      0 
 14:15:53       0    299     85      -     94     35      0      0      0      0  13365   2025  76996      8      0 
 14:15:55       0    299     85      -     77     33      0      0      0      0  13365   1980  76996      8      0 
 14:15:57       0    299     85      -     92     39      0      0      0      0  13365   1972  76996      8      0 
 14:15:59       0    299     85      -     92     38      0      0      0      0  13365   2017  76996      8      0 
 14:16:01       0    266     85      -     21      9      0      0      0      0  13365   2062  76996      8      0 
 14:16:03       0    299     85      -     95     42      0      0      0      0  13365   2025  76996      8      0 
 14:16:05       0    300     86      -     92     47      0      0      0      0  13365   1927  76996      8      0 
 14:16:07       0    302     86      -     94     35      0      0      0      0  13365   2047  76996      8      0 
 14:16:09       0    300     86      -     94     35      0      0      0      0  13365   2047  76996      8      0 
 14:16:11       0    300     85      -     94     35      0      0      0      0  13365   2047  76996      8      0 
 14:16:13       0    299     86      -     94     36      0      0      0      0  13365   2040  76996      8      0 
 14:16:15       0    299     86      -     93     37      0      0      0      0  13365   2047  76996      8      0 
 14:16:17       0    277     86      -     94     36      0      0      0      0  13365   2047  76996      8      0 
