
NOTICE: Existing SQLite export found: /root/g1_audit_replica.sqlite
        It is assumed file was previously exported from: /root/g1_audit_replica.nsys-rep
        Consider using --force-export=true if needed.

Processing [/root/g1_audit_replica.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                Name               
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ---------------------------------
     55.6        115698611      22657     5106.5     2734.0      2223  31497084     219083.3  cudaLaunchKernel                 
     11.6         24184781         10  2418478.1  2063494.5     56615   6882151    1900316.0  cuLibraryLoadData                
      9.6         19996434       9696     2062.3     2123.0      1091     31357        560.4  cudaEventRecordWithFlags_v11010  
      9.3         19294386       6432     2999.7     2805.0      2223     95233       2695.9  cudaMemcpyAsync                  
      2.4          4911062      19596      250.6      171.0       150   1229584       8782.8  cudaStreamIsCapturing_v10000     
      2.0          4155810       3200     1298.7     1282.0      1171      8764        184.5  cudaEventRecord                  
      1.8          3828153       6400      598.1      601.0       380     16375        242.4  cudaStreamWaitEvent              
      1.6          3312857          2  1656428.5  1656428.5    841782   2471075    1152084.1  cudaGetDeviceProperties_v2_v12000
      1.5          3206915       6405      500.7      490.0       390      6259        143.0  cudaEventQuery                   
      0.8          1742931        128    13616.6     1046.5       741    212709      30308.8  cudaStreamCreateWithPriority     
      0.8          1679179          1  1679179.0  1679179.0   1679179   1679179          0.0  cudaFree                         
      0.8          1667563       3379      493.5      471.0       140     13600        346.4  cudaEventCreateWithFlags         
      0.8          1616682         45    35926.3    31527.0      2594    121903      18247.9  cudaMalloc                       
      0.7          1396387         96    14545.7     2258.0      1272    543474      71435.7  cudaHostAlloc                    
      0.5          1065842       3264      326.5      311.0       220      4617        150.7  cudaEventDestroy                 
      0.1           121921        838      145.5       91.0        50       791        107.4  cuGetProcAddress_v2              
      0.0            50087         32     1565.2      816.5       641      6500       1665.5  cudaStreamSynchronize            
      0.0            32156         10     3215.6     3635.0       270      4897       1627.7  cuLibraryGetKernel               
      0.0            18798          1    18798.0    18798.0     18798     18798          0.0  cudaDeviceSynchronize            
      0.0             3736          4      934.0      736.0       471      1793        619.3  cuInit                           
      0.0             2875          4      718.8      656.5        70      1492        706.6  cuModuleGetLoadingMode           
      0.0              822          2      411.0      411.0       201       621        297.0  cudaGetDriverEntryPoint_v11030   

