pod,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,power.draw,power.limit,temperature.gpu,utilization.gpu,utilization.memory,clocks_throttle_reasons.active,memory.used
l4c2838z20o6va,2026/07/30 20:21:30.521, 4, 8, 2520 MHz, 10251 MHz, 83.60 W, 450.00 W, 63, 31 %, 1 %, 0x0000000000000000, 3634 MiB
l4c2838z20o6va,2026/07/30 20:22:02.264, 4, 8, 2520 MHz, 10251 MHz, 79.57 W, 450.00 W, 62, 0 %, 0 %, 0x0000000000000000, 5706 MiB
l4c2838z20o6va,2026/07/30 20:22:33.473, 4, 8, 2610 MHz, 10251 MHz, 106.39 W, 450.00 W, 63, 77 %, 3 %, 0x0000000000000000, 6174 MiB
l4c2838z20o6va,2026/07/30 20:23:04.729, 4, 8, 2610 MHz, 10251 MHz, 107.26 W, 450.00 W, 64, 77 %, 3 %, 0x0000000000000000, 6174 MiB
l4c2838z20o6va,2026/07/30 20:23:36.063, 4, 8, 2610 MHz, 10251 MHz, 108.52 W, 450.00 W, 65, 77 %, 2 %, 0x0000000000000000, 6174 MiB
l4c2838z20o6va,2026/07/30 20:24:07.185, 4, 8, 2595 MHz, 10251 MHz, 135.11 W, 450.00 W, 67, 46 %, 4 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:24:38.849, 4, 8, 2595 MHz, 10251 MHz, 137.35 W, 450.00 W, 68, 34 %, 18 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:25:10.213, 4, 8, 2595 MHz, 10251 MHz, 127.63 W, 450.00 W, 66, 56 %, 18 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:25:41.484, 4, 8, 2595 MHz, 10251 MHz, 128.00 W, 450.00 W, 67, 32 %, 19 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:26:12.598, 4, 8, 2595 MHz, 10251 MHz, 125.15 W, 450.00 W, 67, 48 %, 10 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:26:43.803, 4, 8, 2595 MHz, 10251 MHz, 119.23 W, 450.00 W, 67, 60 %, 2 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:27:14.925, 4, 8, 2595 MHz, 10251 MHz, 120.50 W, 450.00 W, 67, 55 %, 2 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:27:46.088, 4, 8, 2595 MHz, 10251 MHz, 106.47 W, 450.00 W, 66, 0 %, 0 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:28:17.251, 4, 8, 2595 MHz, 10251 MHz, 113.62 W, 450.00 W, 68, 64 %, 2 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:28:48.468, 4, 8, 2595 MHz, 10251 MHz, 120.06 W, 450.00 W, 67, 24 %, 6 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:29:20.854, 4, 8, 2595 MHz, 10251 MHz, 134.59 W, 450.00 W, 68, 51 %, 10 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:29:52.677, 4, 8, 2595 MHz, 10251 MHz, 137.22 W, 450.00 W, 67, 57 %, 17 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:30:24.179, 4, 8, 2595 MHz, 10251 MHz, 136.25 W, 450.00 W, 67, 30 %, 5 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:30:55.444, 4, 8, 2595 MHz, 10251 MHz, 138.51 W, 450.00 W, 68, 49 %, 5 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:31:26.676, 4, 8, 2595 MHz, 10251 MHz, 134.94 W, 450.00 W, 67, 50 %, 10 %, 0x0000000000000000, 8188 MiB
l4c2838z20o6va,2026/07/30 20:31:57.985, 4, 8, 2595 MHz, 10251 MHz, 136.14 W, 450.00 W, 68, 54 %, 14 %, 0x0000000000000000, 8188 MiB
