profiled decode steps: 127 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.445s       925.33%        1.445s     120.441ms            12  
                                               e4b::moe         0.00%       0.000us         0.00%       0.000us       0.000us     513.795ms       328.95%     513.795ms     892.004us           576  
                                              e4b::attn         0.00%       0.000us         0.00%       0.000us       0.000us     332.598ms       212.94%     332.598ms     577.427us           576  
                                          ProfilerStep*         8.87%     128.340ms       100.00%        1.446s     120.535ms       0.000us         0.00%     111.294ms       9.275ms            12  
                                         e4b::moe_block         0.00%       0.000us         0.00%       0.000us       0.000us      52.580ms        33.66%      52.580ms      91.285us           576  
                                         e4b::moe_block         2.00%      28.996ms        43.33%     626.789ms       1.088ms       0.000us         0.00%      42.806ms      74.316us           576  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      38.419ms        24.60%      38.419ms      50.025us           768  
                                               e4b::moe        12.15%     175.768ms        37.44%     541.485ms     940.079us       0.000us         0.00%      34.753ms      60.335us           576  
                                           aten::matmul         0.53%       7.598ms         3.97%      57.438ms      19.779us       0.000us         0.00%      23.622ms       8.134us          2904  
                                           aten::linear         0.30%       4.318ms         4.76%      68.815ms      23.795us       0.000us         0.00%      23.610ms       8.164us          2892  
                                               aten::mm         2.23%      32.295ms         3.02%      43.626ms      15.085us      23.610ms        15.12%      23.610ms       8.164us          2892  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      19.087ms        12.22%      19.087ms      16.398us          1164  
                                            aten::copy_         2.66%      38.481ms         8.39%     121.396ms       7.527us      16.208ms        10.38%      16.426ms       1.018us         16128  
                                              e4b::attn        11.40%     164.870ms        26.74%     386.817ms     671.557us       0.000us         0.00%      15.851ms      27.519us           576  
                                               aten::to         0.86%      12.384ms        10.87%     157.167ms       7.938us       0.000us         0.00%      13.479ms       0.681us         19800  
                                         aten::_to_copy         1.86%      26.901ms        10.01%     144.739ms      12.208us       0.000us         0.00%      13.479ms       1.137us         11856  
                                     aten::index_select         2.14%      30.943ms         4.71%      68.129ms      10.553us      11.728ms         7.51%      11.733ms       1.817us          6456  
                                              aten::mul         2.92%      42.192ms         4.91%      71.009ms       7.645us      11.609ms         7.43%      11.611ms       1.250us          9288  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       8.311ms         5.32%       8.311ms       1.653us          5028  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       7.688ms         4.92%       7.688ms       2.073us          3708  
