profiled decode steps: 127 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.135s       708.43%        1.135s      94.568ms            12  
                                              e4b::attn         0.00%       0.000us         0.00%       0.000us       0.000us     344.722ms       215.20%     344.722ms     598.476us           576  
                                               e4b::moe         0.00%       0.000us         0.00%       0.000us       0.000us     197.579ms       123.34%     197.579ms     343.020us           576  
                                          ProfilerStep*        11.12%     126.297ms       100.00%        1.136s      94.657ms       0.000us         0.00%      95.037ms       7.920ms            12  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      57.930ms        36.16%      57.930ms      50.287us          1152  
                                         e4b::moe_block         0.00%       0.000us         0.00%       0.000us       0.000us      53.627ms        33.48%      53.627ms      93.103us           576  
                                         e4b::moe_block         2.43%      27.559ms        26.78%     304.145ms     528.029us       0.000us         0.00%      27.023ms      46.914us           576  
                                           aten::matmul         0.75%       8.511ms         4.97%      56.399ms      19.421us       0.000us         0.00%      23.694ms       8.159us          2904  
                                           aten::linear         0.38%       4.273ms         6.04%      68.662ms      23.742us       0.000us         0.00%      23.682ms       8.189us          2892  
                                               aten::mm         2.69%      30.606ms         3.70%      41.996ms      14.521us      23.682ms        14.78%      23.682ms       8.189us          2892  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      19.153ms        11.96%      19.153ms      16.454us          1164  
                                               e4b::moe         8.38%      95.170ms        19.28%     218.955ms     380.129us       0.000us         0.00%      18.992ms      32.972us           576  
                                            aten::copy_         3.06%      34.703ms         8.43%      95.785ms       6.608us      16.632ms        10.38%      16.634ms       1.148us         14496  
                                              e4b::attn        14.43%     163.891ms        35.04%     398.027ms     691.018us       0.000us         0.00%      15.764ms      27.367us           576  
                                               aten::to         0.98%      11.139ms        10.51%     119.350ms       7.094us       0.000us         0.00%      12.430ms       0.739us         16824  
                                         aten::_to_copy         2.14%      24.295ms         9.53%     108.211ms      10.944us       0.000us         0.00%      12.430ms       1.257us          9888  
                                              aten::mul         3.40%      38.597ms         5.95%      67.557ms       7.776us      11.180ms         6.98%      11.183ms       1.287us          8688  
                                     aten::index_select         1.66%      18.805ms         3.62%      41.172ms      11.872us      10.244ms         6.39%      10.244ms       2.954us          3468  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       8.475ms         5.29%       8.475ms       1.627us          5208  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       7.123ms         4.45%       7.123ms       4.122us          1728  
