profiled decode steps: 127 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.228s       701.31%        1.228s     102.316ms            12  
                                               e4b::moe         0.00%       0.000us         0.00%       0.000us       0.000us     422.211ms       241.16%     422.211ms     733.006us           576  
                                              e4b::attn         0.00%       0.000us         0.00%       0.000us       0.000us     288.681ms       164.89%     288.681ms     501.182us           576  
                                          ProfilerStep*         9.04%     111.215ms       100.00%        1.230s     102.475ms       0.000us         0.00%     111.388ms       9.282ms            12  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      57.284ms        32.72%      57.284ms      49.726us          1152  
                                         e4b::moe_block         0.00%       0.000us         0.00%       0.000us       0.000us      46.660ms        26.65%      46.660ms      81.007us           576  
                                         e4b::moe_block         2.05%      25.178ms        42.32%     520.374ms     903.427us       0.000us         0.00%      43.996ms      76.381us           576  
                                               e4b::moe        10.32%     126.929ms        36.28%     446.126ms     774.524us       0.000us         0.00%      36.064ms      62.610us           576  
                                           aten::matmul         0.53%       6.473ms         4.06%      49.969ms      17.207us       0.000us         0.00%      23.451ms       8.075us          2904  
                                           aten::linear         0.29%       3.527ms         4.89%      60.122ms      20.789us       0.000us         0.00%      23.440ms       8.105us          2892  
                                               aten::mm         2.29%      28.128ms         3.13%      38.504ms      13.314us      23.440ms        13.39%      23.440ms       8.105us          2892  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      18.998ms        10.85%      18.998ms      16.321us          1164  
                                            aten::copy_         2.63%      32.370ms         9.08%     111.678ms       6.884us      16.175ms         9.24%      16.177ms       0.997us         16224  
                                              e4b::attn        11.69%     143.767ms        27.24%     334.991ms     581.582us       0.000us         0.00%      15.532ms      26.965us           576  
                                               aten::to         0.83%      10.146ms        11.43%     140.506ms       7.131us       0.000us         0.00%      13.071ms       0.663us         19704  
                                         aten::_to_copy         1.83%      22.504ms        10.60%     130.361ms      10.692us       0.000us         0.00%      13.071ms       1.072us         12192  
                                     aten::index_select         2.09%      25.746ms         4.81%      59.133ms       9.315us      12.903ms         7.37%      12.905ms       2.033us          6348  
                                              aten::mul         2.93%      36.085ms         5.07%      62.292ms       6.724us      11.744ms         6.71%      11.744ms       1.268us          9264  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       8.499ms         4.85%       8.499ms       1.632us          5208  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       8.322ms         4.75%       8.322ms       2.064us          4032  
