profiled decode steps: 127 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     874.992ms       581.02%     874.992ms      72.916ms            12  
                                              e4b::attn         0.00%       0.000us         0.00%       0.000us       0.000us     279.973ms       185.91%     279.973ms     486.065us           576  
                                               e4b::moe         0.00%       0.000us         0.00%       0.000us       0.000us     106.068ms        70.43%     106.068ms     184.146us           576  
                                          ProfilerStep*        11.60%     101.764ms       100.00%     876.911ms      73.076ms       0.000us         0.00%      85.914ms       7.159ms            12  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      58.101ms        38.58%      58.101ms      50.435us          1152  
                                         e4b::moe_block         0.00%       0.000us         0.00%       0.000us       0.000us      46.080ms        30.60%      46.080ms      80.001us           576  
                                           aten::matmul         0.69%       6.061ms         5.21%      45.676ms      15.729us       0.000us         0.00%      23.157ms       7.974us          2904  
                                           aten::linear         0.39%       3.439ms         6.24%      54.737ms      18.927us       0.000us         0.00%      23.146ms       8.003us          2892  
                                               aten::mm         2.88%      25.252ms         4.02%      35.222ms      12.179us      23.146ms        15.37%      23.146ms       8.003us          2892  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      18.691ms        12.41%      18.691ms      16.058us          1164  
                                         e4b::moe_block         2.66%      23.333ms        22.63%     198.480ms     344.583us       0.000us         0.00%      17.323ms      30.074us           576  
                                              e4b::attn        15.55%     136.329ms        36.75%     322.246ms     559.455us       0.000us         0.00%      16.121ms      27.988us           576  
                                            aten::copy_         3.04%      26.671ms         8.43%      73.947ms       5.542us      15.697ms        10.42%      15.700ms       1.177us         13344  
                                               aten::to         0.99%       8.705ms        12.19%     106.894ms       6.143us       0.000us         0.00%      13.877ms       0.798us         17400  
                                         aten::_to_copy         2.15%      18.870ms        11.20%      98.189ms       8.894us       0.000us         0.00%      13.877ms       1.257us         11040  
                                              aten::mul         3.71%      32.493ms         6.47%      56.735ms       6.530us      11.449ms         7.60%      11.453ms       1.318us          8688  
                                               e4b::moe         6.65%      58.320ms        14.49%     127.022ms     220.524us       0.000us         0.00%       9.160ms      15.903us           576  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       8.714ms         5.79%       8.714ms       1.673us          5208  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.456ms         4.29%       6.456ms       1.601us          4032  
                                            e4b::lmhead         0.02%     134.203us         0.05%     451.846us      37.654us       0.000us         0.00%       4.590ms     382.459us            12  
