profiled decode steps: 127 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        3.889s      3017.27%        3.889s     324.091ms            12  
                                          ProfilerStep*        18.44%     718.044ms        99.97%        3.892s     324.336ms       0.000us         0.00%      85.865ms       7.155ms            12  
                                     PythonDispatchMode        33.92%        1.320s        68.72%        2.676s      25.233us       0.000us         0.00%      85.494ms       0.806us        106032  
                                               aten::mm         1.91%      74.277ms         5.79%     225.537ms      38.993us      23.132ms        17.95%      46.270ms       8.000us          5784  
                                         aten::_to_copy         1.94%      75.500ms        21.18%     824.566ms      37.385us       0.000us         0.00%      26.543ms       1.203us         22056  
                                           aten::matmul         0.44%      17.060ms         5.63%     219.123ms      75.455us       0.000us         0.00%      23.147ms       7.971us          2904  
                                           aten::linear         0.43%      16.879ms         7.07%     275.152ms      95.143us       0.000us         0.00%      23.135ms       8.000us          2892  
                                              aten::mul         3.00%     116.903ms        11.87%     462.175ms      26.598us      11.138ms         8.64%      22.276ms       1.282us         17376  
                               _gemv_nf4_grouped_splitk         0.00%       0.000us         0.00%       0.000us       0.000us      21.603ms        16.76%      21.603ms      37.506us           576  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      18.699ms        14.51%      18.699ms      16.064us          1164  
                                            aten::copy_         2.47%      96.126ms         8.34%     324.650ms      19.324us      15.512ms        12.03%      17.755ms       1.057us         16800  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      15.237ms        11.82%      15.237ms      26.453us           576  
                                               aten::to         0.86%      33.578ms        14.57%     567.044ms      32.589us       0.000us         0.00%      13.275ms       0.763us         17400  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       8.312ms         6.45%       8.312ms       1.596us          5208  
                                              aten::add         1.65%      64.224ms         6.73%     262.135ms      28.370us       3.981ms         3.09%       7.962ms       0.862us          9240  
                                             aten::topk         0.29%      11.263ms         1.32%      51.238ms      44.478us       3.697ms         2.87%       7.393ms       6.418us          1152  
                                              aten::sum         0.93%      36.349ms         3.45%     134.306ms      38.862us       3.637ms         2.82%       7.274ms       2.105us          3456  
                                             aten::mean         0.97%      37.837ms         3.80%     148.025ms      31.957us       3.245ms         2.52%       6.489ms       1.401us          4632  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.285ms         4.88%       6.285ms       1.559us          4032  
