profiled decode steps: 127 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        3.065s       802.88%        3.065s     255.447ms            12  
                                          ProfilerStep*        32.34%     992.149ms       100.00%        3.068s     255.647ms       0.000us         0.00%     209.048ms      17.421ms            12  
                                      _gemm_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us     159.998ms        41.91%     159.998ms     138.887us          1152  
                                            aten::copy_         3.45%     105.910ms        13.74%     421.377ms       7.055us      48.764ms        12.77%      49.071ms       0.822us         59728  
                                           aten::matmul         0.28%       8.470ms         2.36%      72.285ms      24.892us       0.000us         0.00%      32.455ms      11.176us          2904  
                                           aten::linear         0.15%       4.675ms         2.76%      84.666ms      29.276us       0.000us         0.00%      32.443ms      11.218us          2892  
                                               aten::mm         1.31%      40.232ms         1.84%      56.330ms      19.478us      32.443ms         8.50%      32.443ms      11.218us          2892  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      29.753ms         7.79%      29.753ms       0.771us         38592  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      25.904ms         6.78%      25.904ms       8.995us          2880  
                                     aten::index_select         1.91%      58.665ms         5.04%     154.760ms      14.630us      12.848ms         3.37%      19.347ms       1.829us         10578  
                                               aten::to         0.67%      20.426ms        10.68%     327.741ms      11.215us       0.000us         0.00%      19.014ms       0.651us         29224  
                                         aten::_to_copy         1.34%      41.006ms        10.02%     307.315ms      15.959us       0.000us         0.00%      19.014ms       0.987us         19256  
                                              aten::mul         1.62%      49.770ms         2.61%      80.128ms       7.853us      14.780ms         3.87%      14.780ms       1.448us         10204  
                                            aten::index         1.55%      47.553ms         3.54%     108.508ms      16.724us       9.548ms         2.50%      12.691ms       1.956us          6488  
                                              aten::sum         1.13%      34.648ms         2.72%      83.477ms      18.116us       7.306ms         1.91%      10.581ms       2.296us          4608  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       9.652ms         2.53%       9.652ms       1.700us          5678  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       9.649ms         2.53%       9.649ms       1.857us          5196  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       9.536ms         2.50%       9.536ms      16.555us           576  
                                         aten::_unique2         0.38%      11.612ms         1.06%      32.608ms      56.611us       8.598ms         2.25%       8.810ms      15.296us           576  
