profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      19.750ms        38.11%      19.750ms      25.716us           768  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      13.471ms        26.00%      13.471ms      17.360us           776  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       4.156ms         8.02%       4.156ms      10.822us           384  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.392ms         2.69%       1.392ms       3.626us           384  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us       1.320ms         2.55%       1.320ms       1.718us           768  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.178ms         2.27%       1.178ms       1.503us           784  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.099ms         2.12%       1.099ms       2.861us           384  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.063ms         2.05%       1.063ms       1.384us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     997.767us         1.93%     997.767us       2.545us           392  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     876.233us         1.69%     876.233us       2.282us           384  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     823.901us         1.59%     823.901us       2.146us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     708.674us         1.37%     708.674us       1.846us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     656.406us         1.27%     656.406us       1.709us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     632.809us         1.22%     632.809us       0.824us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     479.128us         0.92%     479.128us       1.248us           384  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     458.688us         0.89%     458.688us       1.170us           392  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     394.843us         0.76%     394.843us       1.028us           384  
