profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.312ms        28.10%      28.312ms      17.607us          1608  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      26.467ms        26.26%      26.467ms      55.140us           480  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      10.226ms        10.15%      10.226ms       1.925us          5312  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.206ms         4.17%       4.206ms       1.588us          2648  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.297ms         3.27%       3.297ms       0.979us          3368  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       2.975ms         2.95%       2.975ms      12.395us           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.444ms         2.43%       2.444ms       0.837us          2920  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.252ms         2.24%       2.252ms       1.564us          1440  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.209ms         2.19%       2.209ms       0.834us          2648  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.198ms         2.18%       2.198ms       7.851us           280  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.112ms         2.10%       2.112ms       0.798us          2648  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.066ms         2.05%       2.066ms       0.780us          2648  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.654ms         1.64%       1.654ms       0.980us          1688  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.059ms         1.05%       1.059ms       0.883us          1200  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us     931.069us         0.92%     931.069us       1.940us           480  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     855.073us         0.85%     855.073us       3.563us           240  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     807.124us         0.80%     807.124us       1.682us           480  
