profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.319ms        35.32%      28.319ms      17.611us          1608  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      26.430ms        32.96%      26.430ms      55.062us           480  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       2.970ms         3.70%       2.970ms      12.376us           240  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us       2.793ms         3.48%       2.793ms       1.288us          2168  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.194ms         2.74%       2.194ms       1.523us          1440  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.186ms         2.73%       2.186ms       7.806us           280  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.652ms         2.06%       1.652ms       1.692us           976  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.038ms         1.29%       1.038ms       0.865us          1200  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us     933.897us         1.16%     933.897us       1.946us           480  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     851.130us         1.06%     851.130us       3.546us           240  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     807.775us         1.01%     807.775us       1.683us           480  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     760.593us         0.95%     760.593us       1.585us           480  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     753.472us         0.94%     753.472us       1.046us           720  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     706.076us         0.88%     706.076us       1.471us           480  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     687.958us         0.86%     687.958us       2.774us           248  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us     683.838us         0.85%     683.838us       2.849us           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     639.681us         0.80%     639.681us       0.851us           752  
