profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.492ms        47.37%      28.492ms      17.719us          1608  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us       5.554ms         9.23%       5.554ms      11.571us           480  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       2.975ms         4.95%       2.975ms      12.398us           240  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us       2.790ms         4.64%       2.790ms       1.287us          2168  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.208ms         3.67%       2.208ms       7.885us           280  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.205ms         3.67%       2.205ms       1.531us          1440  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.142ms         3.56%       2.142ms       1.471us          1456  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.618ms         2.69%       1.618ms       2.248us           720  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.205ms         2.00%       1.205ms       0.819us          1472  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.042ms         1.73%       1.042ms       0.868us          1200  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us     936.439us         1.56%     936.439us       1.951us           480  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     806.718us         1.34%     806.718us       1.681us           480  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     762.651us         1.27%     762.651us       1.589us           480  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     758.369us         1.26%     758.369us       1.053us           720  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     712.895us         1.19%     712.895us       1.485us           480  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     688.066us         1.14%     688.066us       2.774us           248  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us     660.190us         1.10%     660.190us       2.751us           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     536.604us         0.89%     536.604us       1.118us           480  
