profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      27.999ms        46.17%      27.999ms      72.914us           384  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      13.206ms        21.78%      13.206ms      33.688us           392  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.931ms         4.83%       2.931ms       5.088us           576  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.797ms         2.96%       1.797ms       1.170us          1536  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       1.505ms         2.48%       1.505ms       7.837us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.494ms         2.46%       1.494ms       1.531us           976  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.447ms         2.39%       1.447ms       2.477us           584  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.286ms         2.12%       1.286ms       0.837us          1536  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.237ms         2.04%       1.237ms       3.157us           392  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     679.564us         1.12%     679.564us       1.770us           384  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     656.283us         1.08%     656.283us       1.674us           392  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     598.936us         0.99%     598.936us       1.026us           584  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us     554.521us         0.91%     554.521us       2.888us           192  
void at::native::sbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us     546.487us         0.90%     546.487us       2.846us           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     523.720us         0.86%     523.720us       0.873us           600  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us     511.844us         0.84%     511.844us       1.333us           384  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     371.141us         0.61%     371.141us       1.933us           192  
