profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      27.888ms        49.58%      27.888ms      72.624us           384  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      13.217ms        23.50%      13.217ms      33.717us           392  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.910ms         5.17%       2.910ms       5.053us           576  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.801ms         3.20%       1.801ms       1.172us          1536  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       1.496ms         2.66%       1.496ms       7.789us           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.441ms         2.56%       1.441ms       2.468us           584  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.285ms         2.28%       1.285ms       0.836us          1536  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     910.687us         1.62%     910.687us       1.308us           696  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     674.689us         1.20%     674.689us       1.757us           384  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us     528.375us         0.94%     528.375us       1.348us           392  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us     512.731us         0.91%     512.731us       1.335us           384  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     368.733us         0.66%     368.733us       1.920us           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     324.220us         0.58%     324.220us       0.844us           384  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     309.161us         0.55%     309.161us       0.805us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     308.217us         0.55%     308.217us       0.803us           384  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     240.348us         0.43%     240.348us       1.252us           192  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us     232.226us         0.41%     232.226us       2.903us            80  
