profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      13.374ms        35.90%      13.374ms      26.120us           512  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.870ms         7.70%       2.870ms       3.698us           776  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.726ms         7.32%       2.726ms       5.323us           512  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       2.051ms         5.51%       2.051ms       8.013us           256  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.919ms         5.15%       1.919ms       1.481us          1296  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.821ms         4.89%       1.821ms       1.423us          1280  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     873.762us         2.35%     873.762us       0.853us          1024  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     845.050us         2.27%     845.050us       0.806us          1048  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     811.438us         2.18%     811.438us       1.560us           520  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     785.677us         2.11%     785.677us       1.012us           776  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     762.314us         2.05%     762.314us       1.489us           512  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     750.585us         2.02%     750.585us       2.932us           256  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     726.644us         1.95%     726.644us       2.752us           264  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us     720.119us         1.93%     720.119us       2.813us           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     694.909us         1.87%     694.909us       1.336us           520  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us     671.702us         1.80%     671.702us       1.312us           512  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     617.694us         1.66%     617.694us       1.206us           512  
