profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.908ms        12.77%       2.908ms       3.747us           776  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.756ms        12.10%       2.756ms       5.383us           512  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us       2.564ms        11.26%       2.564ms       5.008us           512  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       2.050ms         9.00%       2.050ms       8.008us           256  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.856ms         8.15%       1.856ms       1.450us          1280  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.561ms         6.86%       1.561ms       2.033us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     875.324us         3.84%     875.324us       0.855us          1024  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     774.113us         3.40%     774.113us       1.489us           520  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     765.216us         3.36%     765.216us       1.495us           512  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     728.382us         3.20%     728.382us       2.759us           264  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us     672.831us         2.95%     672.831us       1.314us           512  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us     653.382us         2.87%     653.382us       1.257us           520  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     640.834us         2.81%     640.834us       0.817us           784  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     624.685us         2.74%     624.685us       1.220us           512  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us     606.753us         2.66%     606.753us       2.370us           256  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     464.607us         2.04%     464.607us       1.815us           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     436.325us         1.92%     436.325us       0.839us           520  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us     414.968us         1.82%     414.968us       0.810us           512  
