profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us      13.306ms        29.94%      13.306ms       5.775us          2304  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.671ms        12.76%       5.671ms       2.110us          2688  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       3.029ms         6.82%       3.029ms     378.667us             8  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.868ms         6.45%       2.868ms       1.494us          1920  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       2.648ms         5.96%       2.648ms       6.896us           384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.165ms         4.87%       2.165ms       0.801us          2704  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us       1.831ms         4.12%       1.831ms       0.795us          2304  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us       1.360ms         3.06%       1.360ms       1.172us          1160  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.196ms         2.69%       1.196ms       1.541us           776  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.158ms         2.61%       1.158ms       1.508us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.092ms         2.46%       1.092ms       2.787us           392  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us       1.053ms         2.37%       1.053ms       2.741us           384  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.032ms         2.32%       1.032ms       1.344us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     973.374us         2.19%     973.374us       0.845us          1152  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     954.085us         2.15%     954.085us       1.242us           768  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     904.443us         2.03%     904.443us       2.355us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     694.328us         1.56%     694.328us       1.808us           384  
                                    _rmsnorm_resid_rows         0.00%       0.000us         0.00%       0.000us       0.000us     515.317us         1.16%     515.317us       1.342us           384  
