profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _gemv_mxfp4_b32         0.00%       0.000us         0.00%       0.000us       0.000us      14.193ms        33.02%      14.193ms      36.961us           384  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      13.234ms        30.79%      13.234ms      33.761us           392  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.945ms         6.85%       2.945ms       5.112us           576  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.820ms         4.23%       1.820ms       1.185us          1536  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       1.506ms         3.50%       1.506ms       7.844us           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.468ms         3.42%       1.468ms       2.514us           584  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.124ms         2.62%       1.124ms       0.836us          1344  
                                       _reduce_partials         0.00%       0.000us         0.00%       0.000us       0.000us     687.642us         1.60%     687.642us       1.791us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     685.628us         1.59%     685.628us       1.785us           384  
void at::native::sbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us     590.340us         1.37%     590.340us       3.075us           192  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us     558.208us         1.30%     558.208us       2.907us           192  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us     521.980us         1.21%     521.980us       1.359us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     421.813us         0.98%     421.813us       1.076us           392  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     329.281us         0.77%     329.281us       0.858us           384  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us     314.813us         0.73%     314.813us       0.820us           384  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     312.477us         0.73%     312.477us       0.814us           384  
                                    _rmsnorm_resid_rows         0.00%       0.000us         0.00%       0.000us       0.000us     274.268us         0.64%     274.268us       1.428us           192  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us     267.797us         0.62%     267.797us       1.339us           200  
