profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      13.419ms        49.52%      13.419ms      26.209us           512  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.866ms        10.58%       2.866ms       3.694us           776  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.793ms        10.31%       2.793ms       5.455us           512  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       2.043ms         7.54%       2.043ms       7.979us           256  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     731.942us         2.70%     731.942us       2.773us           264  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us     674.073us         2.49%     674.073us       1.317us           512  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us     612.032us         2.26%     612.032us       2.391us           256  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     452.316us         1.67%     452.316us       1.767us           256  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     425.310us         1.57%     425.310us       1.661us           256  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     415.800us         1.53%     415.800us       0.812us           512  
                                            _rope_heads         0.00%       0.000us         0.00%       0.000us       0.000us     355.167us         1.31%     355.167us       0.694us           512  
                                    _rmsnorm_resid_rows         0.00%       0.000us         0.00%       0.000us       0.000us     337.375us         1.24%     337.375us       1.318us           256  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us     331.611us         1.22%     331.611us       1.256us           264  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     323.785us         1.19%     323.785us       1.265us           256  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     260.831us         0.96%     260.831us       0.988us           264  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     253.632us         0.94%     253.632us       0.991us           256  
                                          _combine_rows         0.00%       0.000us         0.00%       0.000us       0.000us     247.261us         0.91%     247.261us       0.966us           256  
                                 _scaled_resid_add_rows         0.00%       0.000us         0.00%       0.000us       0.000us     191.336us         0.71%     191.336us       0.747us           256  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      96.349us         0.36%      96.349us       0.753us           128  
