profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us      13.301ms        36.48%      13.301ms       5.773us          2304  
                                       _reduce_partials         0.00%       0.000us         0.00%       0.000us       0.000us       3.773ms        10.35%       3.773ms       1.637us          2304  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       3.026ms         8.30%       3.026ms     378.206us             8  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       2.651ms         7.27%       2.651ms       6.904us           384  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us       1.833ms         5.03%       1.833ms       0.795us          2304  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.190ms         3.26%       1.190ms       1.533us           776  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.089ms         2.99%       1.089ms       2.778us           392  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us       1.052ms         2.88%       1.052ms       2.739us           384  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us     999.661us         2.74%     999.661us       1.302us           768  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     907.286us         2.49%     907.286us       2.363us           384  
                                       _rope_norm_heads         0.00%       0.000us         0.00%       0.000us       0.000us     859.346us         2.36%     859.346us       1.119us           768  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     826.527us         2.27%     826.527us       2.152us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     683.195us         1.87%     683.195us       1.779us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     634.562us         1.74%     634.562us       1.653us           384  
                                    _rmsnorm_resid_rows         0.00%       0.000us         0.00%       0.000us       0.000us     517.530us         1.42%     517.530us       1.348us           384  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us     498.936us         1.37%     498.936us       1.273us           392  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     472.956us         1.30%     472.956us       1.232us           384  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     423.843us         1.16%     423.843us       1.104us           384  
