profiled replay steps: 8 (batched B=16 graph replay)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us      50.088ms        55.83%      50.088ms      65.219us           768  
                                  _gemm_int4_b32_smallm         0.00%       0.000us         0.00%       0.000us       0.000us      10.327ms        11.51%      10.327ms       6.723us          1536  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       5.486ms         6.12%       5.486ms      14.287us           384  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       3.794ms         4.23%       3.794ms       9.880us           384  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.067ms         3.42%       3.067ms     383.378us             8  
                                       _reduce_partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.468ms         2.75%       2.468ms       3.213us           768  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us       2.461ms         2.74%       2.461ms       3.204us           768  
void at::native::indexFuncSmallIndex<int, long, unsi...         0.00%       0.000us         0.00%       0.000us       0.000us       1.656ms         1.85%       1.656ms       4.312us           384  
                                   _fp8_append_bt1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.376ms         1.53%       1.376ms       1.791us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.201ms         1.34%       1.201ms       3.127us           384  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us       1.084ms         1.21%       1.084ms       2.822us           384  
                                       _rope_norm_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.046ms         1.17%       1.046ms       1.362us           768  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.029ms         1.15%       1.029ms       2.681us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     765.373us         0.85%     765.373us       1.952us           392  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us     557.084us         0.62%     557.084us       1.421us           392  
                                    _rmsnorm_resid_rows         0.00%       0.000us         0.00%       0.000us       0.000us     540.529us         0.60%     540.529us       1.408us           384  
                                          _combine_rows         0.00%       0.000us         0.00%       0.000us       0.000us     494.044us         0.55%     494.044us       1.287us           384  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     475.203us         0.53%     475.203us       1.238us           384  
