profiled replay steps: 8 (batched B=16 graph replay)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us      51.086ms        57.03%      51.086ms      66.518us           768  
                                  _gemm_int4_b32_smallm         0.00%       0.000us         0.00%       0.000us       0.000us       6.564ms         7.33%       6.564ms       8.546us           768  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       5.625ms         6.28%       5.625ms      14.648us           384  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       3.882ms         4.33%       3.882ms      10.109us           384  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.104ms         3.46%       3.104ms     387.969us             8  
                                       _reduce_partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.589ms         2.89%       2.589ms       3.371us           768  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us       2.545ms         2.84%       2.545ms       3.314us           768  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.852ms         2.07%       1.852ms       1.608us          1152  
void at::native::indexFuncSmallIndex<int, long, unsi...         0.00%       0.000us         0.00%       0.000us       0.000us       1.699ms         1.90%       1.699ms       4.424us           384  
                                   _fp8_append_bt1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.412ms         1.58%       1.412ms       1.838us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.228ms         1.37%       1.228ms       3.197us           384  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us       1.109ms         1.24%       1.109ms       2.889us           384  
                                       _rope_norm_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.088ms         1.21%       1.088ms       1.416us           768  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.048ms         1.17%       1.048ms       2.730us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     791.924us         0.88%     791.924us       2.020us           392  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us     573.891us         0.64%     573.891us       1.464us           392  
                                    _rmsnorm_resid_rows         0.00%       0.000us         0.00%       0.000us       0.000us     549.436us         0.61%     549.436us       1.431us           384  
                                          _combine_rows         0.00%       0.000us         0.00%       0.000us       0.000us     505.696us         0.56%     505.696us       1.317us           384  
