profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us      11.219ms        38.00%      11.219ms       7.304us          1536  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       3.025ms        10.25%       3.025ms     378.181us             8  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       2.675ms         9.06%       2.675ms       6.966us           384  
                                       _reduce_partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.403ms         8.14%       2.403ms       1.565us          1536  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us       1.223ms         4.14%       1.223ms       0.796us          1536  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.089ms         3.69%       1.089ms       2.777us           392  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us       1.043ms         3.53%       1.043ms       2.716us           384  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.024ms         3.47%       1.024ms       1.334us           768  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     903.609us         3.06%     903.609us       2.353us           384  
                                       _rope_norm_heads         0.00%       0.000us         0.00%       0.000us       0.000us     859.545us         2.91%     859.545us       1.119us           768  
                                    _rmsnorm_resid_rows         0.00%       0.000us         0.00%       0.000us       0.000us     518.306us         1.76%     518.306us       1.350us           384  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us     506.350us         1.72%     506.350us       1.292us           392  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     486.563us         1.65%     486.563us       1.267us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     409.129us         1.39%     409.129us       1.044us           392  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     387.487us         1.31%     387.487us       1.009us           384  
                                          _combine_rows         0.00%       0.000us         0.00%       0.000us       0.000us     381.311us         1.29%     381.311us       0.993us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     325.236us         1.10%     325.236us       0.847us           384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     314.803us         1.07%     314.803us       0.820us           384  
                                           _swiglu_rows         0.00%       0.000us         0.00%       0.000us       0.000us     298.858us         1.01%     298.858us       0.778us           384  
