profiled replay steps: 8 (batched B=16 graph replay)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us      51.717ms        52.50%      51.717ms      67.340us           768  
                                  _gemm_int4_b32_smallm         0.00%       0.000us         0.00%       0.000us       0.000us       6.459ms         6.56%       6.459ms       8.411us           768  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       5.483ms         5.57%       5.483ms      14.279us           384  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       3.707ms         3.76%       3.707ms       9.653us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.307ms         3.36%       3.307ms       1.722us          1920  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.064ms         3.11%       3.064ms     382.953us             8  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us       2.497ms         2.53%       2.497ms       3.251us           768  
                                       _reduce_partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.488ms         2.53%       2.488ms       3.239us           768  
void at::native::indexFuncSmallIndex<int, long, unsi...         0.00%       0.000us         0.00%       0.000us       0.000us       1.621ms         1.64%       1.621ms       4.220us           384  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us       1.547ms         1.57%       1.547ms       1.334us          1160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.460ms         1.48%       1.460ms       0.950us          1536  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.384ms         1.41%       1.384ms       1.802us           768  
                                   _fp8_append_bt1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.334ms         1.35%       1.334ms       1.738us           768  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.215ms         1.23%       1.215ms       1.581us           768  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.207ms         1.23%       1.207ms       1.571us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.172ms         1.19%       1.172ms       3.053us           384  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us       1.089ms         1.11%       1.089ms       2.835us           384  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.037ms         1.05%       1.037ms       2.700us           384  
