profiled replay steps: 8 (batched B=16 graph replay)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us      54.249ms        58.93%      54.249ms      70.637us           768  
                                  _gemm_int4_b32_smallm         0.00%       0.000us         0.00%       0.000us       0.000us      10.469ms        11.37%      10.469ms       6.816us          1536  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       5.480ms         5.95%       5.480ms      14.272us           384  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       3.715ms         4.04%       3.715ms       9.675us           384  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.063ms         3.33%       3.063ms     382.844us             8  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us       2.484ms         2.70%       2.484ms       3.234us           768  
void at::native::indexFuncSmallIndex<int, long, unsi...         0.00%       0.000us         0.00%       0.000us       0.000us       1.685ms         1.83%       1.685ms       4.387us           384  
                                   _fp8_append_bt1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.373ms         1.49%       1.373ms       1.787us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.179ms         1.28%       1.179ms       3.069us           384  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us       1.090ms         1.18%       1.090ms       2.837us           384  
                                       _rope_norm_heads         0.00%       0.000us         0.00%       0.000us       0.000us       1.044ms         1.13%       1.044ms       1.360us           768  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.035ms         1.12%       1.035ms       2.694us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     765.246us         0.83%     765.246us       1.952us           392  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us     555.294us         0.60%     555.294us       1.417us           392  
                                    _rmsnorm_resid_rows         0.00%       0.000us         0.00%       0.000us       0.000us     546.019us         0.59%     546.019us       1.422us           384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     534.882us         0.58%     534.882us       0.689us           776  
                                          _combine_rows         0.00%       0.000us         0.00%       0.000us       0.000us     491.424us         0.53%     491.424us       1.280us           384  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     476.387us         0.52%     476.387us       1.241us           384  
