profiled replay steps: 8 (batched B=16 graph replay)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us      53.214ms        51.98%      53.214ms      69.289us           768  
                                  _gemm_int4_b32_smallm         0.00%       0.000us         0.00%       0.000us       0.000us      10.369ms        10.13%      10.369ms       6.750us          1536  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       5.451ms         5.32%       5.451ms      14.196us           384  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       3.682ms         3.60%       3.682ms       9.589us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.280ms         3.20%       3.280ms       1.708us          1920  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.073ms         3.00%       3.073ms     384.141us             8  
                                       _reduce_partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.525ms         2.47%       2.525ms       3.288us           768  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us       2.495ms         2.44%       2.495ms       3.248us           768  
void at::native::indexFuncSmallIndex<int, long, unsi...         0.00%       0.000us         0.00%       0.000us       0.000us       1.603ms         1.57%       1.603ms       4.173us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.600ms         1.56%       1.600ms       2.062us           776  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us       1.552ms         1.52%       1.552ms       1.338us          1160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.444ms         1.41%       1.444ms       0.940us          1536  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.364ms         1.33%       1.364ms       1.776us           768  
                                   _fp8_append_bt1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.330ms         1.30%       1.330ms       1.732us           768  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.184ms         1.16%       1.184ms       1.542us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.171ms         1.14%       1.171ms       3.050us           384  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us       1.090ms         1.06%       1.090ms       2.839us           384  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.038ms         1.01%       1.038ms       2.704us           384  
