profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _gemv_int4_b32         0.00%       0.000us         0.00%       0.000us       0.000us      13.139ms        43.16%      13.139ms       8.554us          1536  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       3.025ms         9.94%       3.025ms     378.111us             8  
                          _fp8_paged_decode_split_f8dot         0.00%       0.000us         0.00%       0.000us       0.000us       2.773ms         9.11%       2.773ms       7.222us           384  
                                          _quant_x_rows         0.00%       0.000us         0.00%       0.000us       0.000us       1.274ms         4.18%       1.274ms       0.829us          1536  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.116ms         3.67%       1.116ms       2.848us           392  
                                       _router_epilogue         0.00%       0.000us         0.00%       0.000us       0.000us       1.079ms         3.54%       1.079ms       2.810us           384  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.066ms         3.50%       1.066ms       1.388us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     992.715us         3.26%     992.715us       0.643us          1544  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     917.845us         3.01%     917.845us       2.390us           384  
                                       _rope_norm_heads         0.00%       0.000us         0.00%       0.000us       0.000us     882.968us         2.90%     882.968us       1.150us           768  
                                    _rmsnorm_resid_rows         0.00%       0.000us         0.00%       0.000us       0.000us     531.665us         1.75%     531.665us       1.385us           384  
                                          _rmsnorm_rows         0.00%       0.000us         0.00%       0.000us       0.000us     516.689us         1.70%     516.689us       1.318us           392  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     498.827us         1.64%     498.827us       1.299us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     428.776us         1.41%     428.776us       1.094us           392  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     400.287us         1.31%     400.287us       1.042us           384  
                                          _combine_rows         0.00%       0.000us         0.00%       0.000us       0.000us     392.163us         1.29%     392.163us       1.021us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     337.590us         1.11%     337.590us       0.879us           384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     326.806us         1.07%     326.806us       0.851us           384  
                                           _swiglu_rows         0.00%       0.000us         0.00%       0.000us       0.000us     306.304us         1.01%     306.304us       0.798us           384  
