profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us       12.123s       365.87%       12.123s      31.569ms           384  
                                          e4b::p66.cold         0.00%       0.000us         0.00%       0.000us       0.000us       11.911s       359.48%       11.911s      31.018ms           384  
                                            aten::copy_         0.33%      39.950ms        30.28%        3.695s     565.982us        3.269s        98.66%        3.269s     500.777us          6528  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        3.266s        98.56%        3.266s       1.701ms          1920  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      20.517ms         0.62%      20.517ms      26.714us           768  
                                     aten::index_select        37.58%        4.586s        38.22%        4.664s     639.280us       8.442ms         0.25%       8.442ms       1.157us          7296  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       6.200ms         0.19%       6.200ms       2.020us          3070  
                                          aten::nonzero         0.42%      51.503ms         0.99%     120.529ms      78.469us       5.010ms         0.15%       5.017ms       3.266us          1536  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       2.242ms         0.07%       2.242ms       2.919us           768  
                                            aten::index         0.28%      33.610ms         0.96%     117.342ms      61.115us       2.043ms         0.06%       4.553ms       2.371us          1920  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.960ms         0.06%       1.960ms       1.279us          1532  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us       1.498ms         0.05%       1.498ms       0.978us          1532  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.148ms         0.03%       1.148ms       1.495us           768  
                                 aten::_index_put_impl_         0.05%       5.529ms         0.09%      11.278ms      29.369us       1.116ms         0.03%       1.116ms       2.907us           384  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.116ms         0.03%       1.116ms       2.907us           384  
                                             aten::sort         0.12%      14.727ms         0.45%      55.096ms      71.740us       1.068ms         0.03%       2.208ms       2.875us           768  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.068ms         0.03%       1.068ms       2.782us           384  
void at_cuda_detail::cub::DeviceCompactInitKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.041ms         0.03%       1.041ms       0.680us          1532  
