profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us       10.437s       670.93%       10.437s      27.180ms           384  
                                          e4b::p66.cold         0.00%       0.000us         0.00%       0.000us       0.000us        9.735s       625.82%        9.735s      25.353ms           384  
                                            aten::copy_         0.54%      57.122ms        16.98%        1.787s     192.404us        1.493s        95.95%        1.493s     160.708us          9288  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        1.487s        95.58%        1.487s     774.383us          1920  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      31.119ms         2.00%      31.119ms      21.343us          1458  
                                     aten::index_select        34.75%        3.657s        37.14%        3.908s     375.732us      11.414ms         0.73%      11.414ms       1.097us         10401  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       8.509ms         0.55%       8.509ms       1.551us          5486  
                                          aten::nonzero         0.50%      52.794ms         1.19%     125.526ms      81.723us       5.009ms         0.32%       5.009ms       3.261us          1536  
                                            aten::index         0.44%      46.740ms         1.87%     196.581ms      75.319us       3.285ms         0.21%       5.779ms       2.214us          2610  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       2.906ms         0.19%       2.906ms       1.993us          1458  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.128ms         0.14%       2.128ms       1.460us          1458  
                                 aten::_index_put_impl_         0.10%      10.572ms         0.21%      22.269ms      30.548us       2.040ms         0.13%       2.040ms       2.798us           729  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.040ms         0.13%       2.040ms       2.798us           729  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.967ms         0.13%       1.967ms       1.282us          1534  
                                             aten::sort         0.23%      24.124ms         1.46%     153.985ms     138.351us       1.715ms         0.11%       3.891ms       3.496us          1113  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.715ms         0.11%       1.715ms       2.718us           631  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.687ms         0.11%       1.687ms       0.771us          2187  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us       1.493ms         0.10%       1.493ms       0.973us          1534  
