profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us        1.338s       370.67%        1.338s       6.971ms           192  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us        1.292s       357.72%        1.292s       6.727ms           192  
                                       e4b::p66.resolve         0.00%       0.000us         0.00%       0.000us       0.000us     856.958ms       237.34%     856.958ms       4.463ms           192  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     326.371ms        90.39%     326.371ms       1.700ms           192  
                                    _gemv_mxfp4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      25.874ms         7.17%      25.874ms      67.380us           384  
                                            aten::copy_         1.17%      15.662ms         2.82%      37.707ms      12.274us       2.264ms         0.63%       2.264ms       0.737us          3072  
                                     aten::index_select         0.47%       6.357ms         1.06%      14.153ms      24.570us       1.387ms         0.38%       1.387ms       2.409us           576  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.085ms         0.30%       1.085ms       2.824us           384  
                                              aten::mul         0.65%       8.720ms         1.15%      15.363ms      13.336us       1.066ms         0.30%       1.066ms       0.926us          1152  
                                              aten::sum         0.57%       7.688ms         1.44%      19.283ms      33.478us     888.374us         0.25%       1.270ms       2.204us           576  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     880.096us         0.24%     880.096us       1.528us           576  
                                            aten::clamp         0.31%       4.207ms         0.52%       6.979ms      18.175us     627.871us         0.17%     627.871us       1.635us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     627.871us         0.17%     627.871us       1.635us           384  
                                              aten::add         0.39%       5.267ms         0.64%       8.534ms      14.816us     518.297us         0.14%     518.297us       0.900us           576  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     513.241us         0.14%     513.241us       1.337us           384  
                                             aten::add_         0.17%       2.307ms         0.33%       4.470ms      11.639us     412.610us         0.11%     412.610us       1.075us           384  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     412.610us         0.11%     412.610us       1.075us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     381.275us         0.11%     381.275us       0.993us           384  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     375.133us         0.10%     375.133us       1.954us           192  
