profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us        1.678s       388.49%        1.678s       8.739ms           192  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us        1.602s       370.86%        1.602s       8.342ms           192  
                                       e4b::p66.resolve         0.00%       0.000us         0.00%       0.000us       0.000us        1.020s       236.23%        1.020s       5.314ms           192  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     397.124ms        91.95%     397.124ms       2.068ms           192  
                                    _gemv_mxfp4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      25.900ms         6.00%      25.900ms      67.449us           384  
                                            aten::copy_         1.68%      28.424ms         3.88%      65.686ms      21.382us       2.269ms         0.53%       2.269ms       0.739us          3072  
                                     aten::index_select         0.69%      11.632ms         1.51%      25.468ms      44.215us       1.387ms         0.32%       1.387ms       2.408us           576  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.086ms         0.25%       1.086ms       2.827us           384  
                                              aten::mul         0.96%      16.250ms         1.64%      27.669ms      24.018us       1.067ms         0.25%       1.067ms       0.926us          1152  
                                              aten::sum         0.81%      13.640ms         1.95%      32.998ms      57.289us     896.545us         0.21%       1.278ms       2.218us           576  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     883.480us         0.20%     883.480us       1.534us           576  
                                            aten::clamp         0.45%       7.662ms         0.74%      12.523ms      32.612us     627.839us         0.15%     627.839us       1.635us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     627.839us         0.15%     627.839us       1.635us           384  
                                              aten::add         0.58%       9.873ms         0.91%      15.447ms      26.818us     518.844us         0.12%     518.844us       0.901us           576  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     514.913us         0.12%     514.913us       1.341us           384  
                                             aten::add_         0.23%       3.965ms         0.43%       7.352ms      19.147us     412.509us         0.10%     412.509us       1.074us           384  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     412.509us         0.10%     412.509us       1.074us           384  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     381.632us         0.09%     381.632us       1.988us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     381.024us         0.09%     381.024us       0.992us           384  
