profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us     482.707ms       116.34%     482.707ms       2.514ms           192  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us     436.280ms       105.15%     436.280ms       2.272ms           192  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     379.869ms        91.55%     379.869ms       1.978ms           192  
                                    _gemv_mxfp4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      25.968ms         6.26%      25.968ms      67.625us           384  
                                            aten::copy_         1.77%       8.562ms         4.23%      20.429ms      11.822us       2.098ms         0.51%       2.098ms       1.214us          1728  
                                     aten::index_select         1.28%       6.200ms         3.01%      14.568ms      18.969us       1.833ms         0.44%       1.833ms       2.387us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.089ms         0.26%       1.089ms       2.837us           384  
                                              aten::mul         1.49%       7.183ms         2.68%      12.960ms      11.250us       1.074ms         0.26%       1.074ms       0.932us          1152  
                                              aten::sum         1.24%       5.984ms         3.09%      14.932ms      25.924us     883.384us         0.21%       1.266ms       2.199us           576  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     880.413us         0.21%     880.413us       1.528us           576  
                                            aten::clamp         0.69%       3.332ms         1.20%       5.782ms      15.057us     632.314us         0.15%     632.314us       1.647us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     632.314us         0.15%     632.314us       1.647us           384  
                                              aten::add         0.90%       4.363ms         1.49%       7.199ms      12.499us     513.442us         0.12%     513.442us       0.891us           576  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     510.620us         0.12%     510.620us       1.330us           384  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     440.578us         0.11%     440.578us       2.295us           192  
                                             aten::add_         0.36%       1.744ms         0.72%       3.475ms       9.049us     413.497us         0.10%     413.497us       1.077us           384  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     413.497us         0.10%     413.497us       1.077us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     383.040us         0.09%     383.040us       0.998us           384  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     372.764us         0.09%     372.764us       1.941us           192  
