profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us     476.686ms       116.97%     476.686ms       2.483ms           192  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us     428.489ms       105.14%     428.489ms       2.232ms           192  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     372.493ms        91.40%     372.493ms       1.940ms           192  
                                    _gemv_mxfp4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      25.993ms         6.38%      25.993ms      67.691us           384  
                                            aten::copy_         1.75%       8.406ms         4.19%      20.081ms      11.621us       2.082ms         0.51%       2.082ms       1.205us          1728  
                                     aten::index_select         1.29%       6.199ms         3.01%      14.430ms      18.790us       1.826ms         0.45%       1.826ms       2.377us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.086ms         0.27%       1.086ms       2.828us           384  
                                              aten::mul         1.47%       7.059ms         2.69%      12.904ms      11.202us       1.055ms         0.26%       1.055ms       0.916us          1152  
                                              aten::sum         1.22%       5.875ms         3.11%      14.934ms      25.926us     885.371us         0.22%       1.261ms       2.189us           576  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     880.508us         0.22%     880.508us       1.529us           576  
                                            aten::clamp         0.68%       3.267ms         1.18%       5.652ms      14.719us     631.671us         0.15%     631.671us       1.645us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     631.671us         0.15%     631.671us       1.645us           384  
                                              aten::add         0.89%       4.270ms         1.47%       7.044ms      12.230us     519.581us         0.13%     519.581us       0.902us           576  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     511.451us         0.13%     511.451us       1.332us           384  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     441.375us         0.11%     441.375us       2.299us           192  
                                             aten::add_         0.37%       1.755ms         0.72%       3.444ms       8.969us     410.682us         0.10%     410.682us       1.069us           384  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     410.682us         0.10%     410.682us       1.069us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     375.227us         0.09%     375.227us       0.977us           384  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     373.920us         0.09%     373.920us       1.948us           192  
