profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us     182.218ms       424.11%     182.218ms     949.050us           192  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us      64.506ms       150.14%      64.506ms     335.966us           192  
                                    _gemv_mxfp4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      26.131ms        60.82%      26.131ms      68.050us           384  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us       7.571ms        17.62%       7.571ms      39.432us           192  
                                            aten::copy_         4.29%       8.808ms        10.31%      21.149ms      12.239us       2.113ms         4.92%       2.113ms       1.223us          1728  
                                     aten::index_select         2.97%       6.091ms         7.06%      14.471ms      18.843us       1.823ms         4.24%       1.823ms       2.374us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.086ms         2.53%       1.086ms       2.827us           384  
                                              aten::mul         3.47%       7.114ms         6.45%      13.231ms      11.485us       1.060ms         2.47%       1.060ms       0.920us          1152  
                                              aten::sum         2.89%       5.925ms         7.44%      15.267ms      26.505us       1.035ms         2.41%       1.412ms       2.452us           576  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     908.189us         2.11%     908.189us       1.577us           576  
                                            aten::clamp         1.59%       3.259ms         2.83%       5.798ms      15.100us     635.455us         1.48%     635.455us       1.655us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     635.455us         1.48%     635.455us       1.655us           384  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     537.532us         1.25%     537.532us       1.400us           384  
                                              aten::add         2.09%       4.276ms         3.58%       7.336ms      12.736us     519.741us         1.21%     519.741us       0.902us           576  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     497.185us         1.16%     497.185us       2.590us           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     439.707us         1.02%     439.707us       2.290us           192  
                                             aten::add_         0.83%       1.705ms         1.72%       3.519ms       9.164us     409.945us         0.95%     409.945us       1.068us           384  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     409.945us         0.95%     409.945us       1.068us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     377.505us         0.88%     377.505us       0.983us           384  
