profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.token         0.00%       0.000us         0.00%       0.000us       0.000us     590.849ms       100.45%     590.849ms      73.856ms             8  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     558.215ms        94.90%     558.215ms       1.457ms           383  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      20.301ms         3.45%      20.301ms      26.434us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       2.970ms         0.50%       2.970ms       3.877us           766  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.079ms         0.18%       1.079ms       1.405us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.047ms         0.18%       1.047ms       2.733us           383  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     834.050us         0.14%     834.050us       2.172us           384  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     782.653us         0.13%     782.653us       2.038us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     653.595us         0.11%     653.595us       1.702us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     592.986us         0.10%     592.986us       1.544us           384  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     585.795us         0.10%     585.795us       0.750us           781  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     448.031us         0.08%     448.031us       1.170us           383  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     413.726us         0.07%     413.726us       1.077us           384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     293.951us         0.05%     293.951us       0.765us           384  
                                         e4b::p66.input         0.00%       0.000us         0.00%       0.000us       0.000us      34.272us         0.01%      34.272us       4.896us             7  
                                            aten::copy_         0.01%      89.620us         0.17%       1.033ms      64.575us      15.904us         0.00%      15.904us       0.994us            16  
                                         e4b::p66.token         0.05%     288.592us         1.67%       9.990ms       1.249ms       0.000us         0.00%      15.904us       1.988us             8  
                                         e4b::p66.input         0.05%     312.295us         0.24%       1.431ms     178.904us       0.000us         0.00%      15.904us       1.988us             8  
                                           aten::select         0.01%      74.571us         0.02%      94.451us       3.935us       0.000us         0.00%       0.000us       0.000us            24  
                                       aten::as_strided         0.00%      25.190us         0.00%      25.190us       0.630us       0.000us         0.00%       0.000us       0.000us            40  
                                        aten::unsqueeze         0.00%      26.560us         0.01%      31.870us       1.992us       0.000us         0.00%       0.000us       0.000us            16  
                                Activity Buffer Request         0.06%     337.585us         0.06%     337.585us     337.585us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaMemcpyAsync         0.10%     606.001us         0.10%     606.001us      37.875us       0.000us         0.00%       0.000us       0.000us            16  
                                  cudaStreamIsCapturing         0.00%       7.050us         0.00%       7.050us       0.881us       0.000us         0.00%       0.000us       0.000us             8  
                                        cudaGraphLaunch         1.38%       8.263ms         1.38%       8.263ms       1.033ms       0.000us         0.00%       0.000us       0.000us             8  
                                   cudaDriverGetVersion         0.00%       0.800us         0.00%       0.800us       0.100us       0.000us         0.00%       0.000us       0.000us             8  
                                     aten::resolve_conj         0.00%       2.091us         0.00%       2.091us       0.261us       0.000us         0.00%       0.000us       0.000us             8  
                                      aten::resolve_neg         0.00%       1.060us         0.00%       1.060us       0.132us       0.000us         0.00%       0.000us       0.000us             8  
                                  cudaDeviceSynchronize        98.33%     589.379ms        98.33%     589.379ms     294.689ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 599.413ms
Self CUDA time total: 588.217ms
