profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us     139.252ms       384.09%     139.252ms     362.635us           384  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us      77.157ms       212.82%      77.157ms     200.929us           384  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      23.387ms        64.51%      23.387ms      30.452us           768  
                                     aten::index_select         3.66%      10.413ms         9.55%      27.189ms      17.701us       5.680ms        15.67%       5.680ms       3.698us          1536  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       4.578ms        12.63%       4.578ms       3.981us          1150  
                                            aten::copy_         5.14%      14.624ms        12.70%      36.145ms      13.447us       3.347ms         9.23%       3.347ms       1.245us          2688  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.157ms         3.19%       1.157ms       1.506us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.103ms         3.04%       1.103ms       2.879us           383  
                                              aten::mul         2.20%       6.260ms         3.87%      11.005ms      14.329us       1.050ms         2.90%       1.050ms       1.367us           768  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     863.094us         2.38%     863.094us       2.248us           384  
                                            aten::where         1.78%       5.075ms         3.68%      10.469ms      13.631us     843.959us         2.33%     843.959us       1.099us           768  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     843.959us         2.33%     843.959us       1.100us           767  
                                              aten::sum         1.23%       3.496ms         2.09%       5.957ms      15.513us     811.128us         2.24%     811.128us       2.112us           384  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     811.128us         2.24%     811.128us       2.112us           384  
                                             aten::silu         1.75%       4.987ms         2.84%       8.079ms      21.038us     688.213us         1.90%     688.213us       1.792us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     688.213us         1.90%     688.213us       1.792us           384  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     668.247us         1.84%     668.247us       0.871us           767  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     611.963us         1.69%     611.963us       1.594us           384  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     447.070us         1.23%     447.070us       1.167us           383  
