profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us     474.235ms        95.59%     474.235ms       1.235ms           384  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     461.254ms        92.97%     461.254ms       1.201ms           384  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us      33.349ms         6.72%      33.349ms      86.846us           384  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      22.309ms         4.50%      22.309ms      29.048us           768  
                                     aten::index_select         2.06%      10.471ms        38.50%     195.934ms     127.561us       5.701ms         1.15%       6.725ms       4.378us          1536  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       4.594ms         0.93%       4.594ms       3.988us          1152  
                                            aten::copy_         2.86%      14.540ms         6.89%      35.052ms      13.040us       3.348ms         0.67%       3.349ms       1.246us          2688  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.152ms         0.23%       1.152ms       1.500us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.107ms         0.22%       1.107ms       2.883us           384  
                                              aten::mul         1.21%       6.160ms         2.10%      10.687ms      13.915us       1.048ms         0.21%       1.048ms       1.364us           768  
                                    Command Buffer Full        33.17%     168.830ms        33.17%     168.830ms     654.379us       1.024ms         0.21%       1.024ms       3.969us           258  
                                            aten::where         1.02%       5.198ms         2.06%      10.475ms      13.640us     970.940us         0.20%     970.940us       1.264us           768  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     970.940us         0.20%     970.940us       1.264us           768  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     863.703us         0.17%     863.703us       2.249us           384  
                                              aten::sum         0.69%       3.516ms         1.13%       5.734ms      14.932us     796.985us         0.16%     796.985us       2.075us           384  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     796.985us         0.16%     796.985us       2.075us           384  
                                             aten::silu         0.96%       4.895ms         1.53%       7.808ms      20.333us     682.080us         0.14%     682.080us       1.776us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     682.080us         0.14%     682.080us       1.776us           384  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     674.652us         0.14%     674.652us       0.878us           768  
