profiled decode steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us     163.369ms       619.47%     163.369ms     425.441us           384  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      23.373ms        88.63%      23.373ms      30.434us           768  
                                            aten::copy_         4.05%       8.769ms         8.21%      17.776ms      15.431us       1.158ms         4.39%       1.158ms       1.006us          1152  
                                     aten::index_select         2.22%       4.816ms         6.41%      13.881ms      36.148us       1.127ms         4.27%       1.130ms       2.944us           384  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.127ms         4.27%       1.127ms       2.935us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     738.295us         2.80%     738.295us       0.961us           768  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     420.160us         1.59%     420.160us       1.094us           384  
                                          _combine_rows         0.00%       0.000us         0.00%       0.000us       0.000us     381.149us         1.45%     381.149us       0.993us           384  
                                           _swiglu_rows         0.00%       0.000us         0.00%       0.000us       0.000us     332.899us         1.26%     332.899us       0.867us           384  
                                       cuLaunchKernelEx         5.86%      12.682ms         5.86%      12.682ms       8.256us      69.343us         0.26%      69.343us       0.045us          1536  
                                Activity Buffer Request         0.62%       1.344ms         0.62%       1.344ms       1.344ms       3.456us         0.01%       3.456us       3.456us             1  
                                         e4b::p66.token         2.01%       4.359ms        99.97%     216.455ms      27.057ms       0.000us         0.00%       2.358ms     294.774us             8  
                                         e4b::p66.layer        60.13%     130.198ms        97.96%     212.097ms     552.335us       0.000us         0.00%       2.358ms       6.141us           384  
                                           aten::select         1.67%       3.610ms         2.07%       4.480ms       2.902us       0.000us         0.00%       0.000us       0.000us          1544  
                                       aten::as_strided         0.82%       1.783ms         0.82%       1.783ms       0.579us       0.000us         0.00%       0.000us       0.000us          3080  
                                        aten::unsqueeze         0.51%       1.095ms         0.60%       1.302ms       1.696us       0.000us         0.00%       0.000us       0.000us           768  
                                               aten::to         0.97%       2.091ms        13.88%      30.063ms      13.048us       0.000us         0.00%       1.158ms       0.503us          2304  
                                          aten::reshape         0.63%       1.371ms         1.64%       3.549ms       4.621us       0.000us         0.00%       0.000us       0.000us           768  
                                             aten::view         2.39%       5.169ms         2.39%       5.169ms       3.365us       0.000us         0.00%       0.000us       0.000us          1536  
                                            aten::empty         4.23%       9.159ms         4.23%       9.159ms       4.771us       0.000us         0.00%       0.000us       0.000us          1920  
                                          aten::resize_         0.62%       1.350ms         0.62%       1.350ms       3.517us       0.000us         0.00%       0.000us       0.000us           384  
                                       cudaLaunchKernel         6.38%      13.823ms         6.38%      13.823ms       8.999us       0.000us         0.00%       0.000us       0.000us          1536  
                                         aten::_to_copy         1.82%       3.937ms        12.92%      27.973ms      24.282us       0.000us         0.00%       1.158ms       1.006us          1152  
                                    aten::empty_strided         2.89%       6.259ms         2.89%       6.259ms       5.433us       0.000us         0.00%       0.000us       0.000us          1152  
                                            aten::chunk         0.31%     680.242us         2.49%       5.395ms      14.049us       0.000us         0.00%       0.000us       0.000us           384  
                                            aten::split         0.83%       1.787ms         2.18%       4.715ms      12.278us       0.000us         0.00%       0.000us       0.000us           384  
                                           aten::narrow         0.50%       1.091ms         1.35%       2.928ms       3.812us       0.000us         0.00%       0.000us       0.000us           768  
                                            aten::slice         0.52%       1.131ms         0.85%       1.837ms       2.392us       0.000us         0.00%       0.000us       0.000us           768  
                                     aten::resolve_conj         0.00%       1.990us         0.00%       1.990us       0.249us       0.000us         0.00%       0.000us       0.000us             8  
                                      aten::resolve_neg         0.00%       0.770us         0.00%       0.770us       0.096us       0.000us         0.00%       0.000us       0.000us             8  
                                  cudaDeviceSynchronize         0.00%      10.270us         0.00%      10.270us       5.135us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 216.518ms
Self CUDA time total: 26.373ms
