profiled decode steps: 47 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        5.156s       541.03%        5.156s     429.652ms            12  
                                          ProfilerStep*        37.98%        1.960s       100.00%        5.160s     429.966ms       0.000us         0.00%     921.252ms      76.771ms            12  
                                            aten::copy_         1.59%      81.962ms        20.24%        1.044s      73.992us     830.174ms        87.12%     830.176ms      58.828us         14112  
                                               aten::to         0.43%      22.311ms        22.74%        1.173s      52.167us       0.000us         0.00%     829.508ms      36.887us         22488  
                                         aten::_to_copy         1.06%      54.607ms        22.30%        1.151s      90.798us       0.000us         0.00%     829.508ms      65.460us         12672  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     816.233ms        85.65%     816.233ms     492.894us          1656  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      33.081ms         3.47%      33.081ms      28.716us          1152  
                                           aten::matmul         0.17%       8.821ms         1.36%      70.026ms      39.969us       0.000us         0.00%      21.512ms      12.278us          1752  
                                           aten::linear         0.09%       4.624ms         1.64%      84.754ms      48.709us       0.000us         0.00%      21.498ms      12.355us          1740  
                                               aten::mm         0.75%      38.485ms         1.08%      55.601ms      31.955us      21.498ms         2.26%      21.498ms      12.355us          1740  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      20.143ms         2.11%      20.143ms      17.305us          1164  
                                              aten::mul         1.25%      64.373ms         2.17%     112.000ms      13.807us       9.980ms         1.05%       9.983ms       1.231us          8112  
                                     aten::index_select        16.61%     856.846ms        17.89%     922.882ms     133.287us       8.600ms         0.90%       8.600ms       1.242us          6924  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       8.118ms         0.85%       8.118ms       1.650us          4920  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.254ms         0.55%       5.254ms       1.520us          3456  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       4.665ms         0.49%       4.665ms       2.025us          2304  
                                       cuLaunchKernelEx         0.46%      23.704ms         0.46%      23.704ms       9.145us       4.196ms         0.44%       4.196ms       1.619us          2592  
                                              aten::add         0.84%      43.104ms         1.41%      72.668ms      15.101us       4.159ms         0.44%       4.159ms       0.864us          4812  
                                      aten::index_copy_         0.45%      23.305ms         0.83%      43.024ms      16.599us       3.979ms         0.42%       3.979ms       1.535us          2592  
