profiled decode steps: 47 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        2.248s      1669.73%        2.248s     187.310ms            12  
                                          ProfilerStep*        43.04%     968.632ms       100.00%        2.250s     187.527ms       0.000us         0.00%      96.024ms       8.002ms            12  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      35.223ms        26.17%      35.223ms      30.575us          1152  
                                           aten::matmul         0.40%       9.037ms         3.13%      70.439ms      40.205us       0.000us         0.00%      21.742ms      12.410us          1752  
                                           aten::linear         0.24%       5.367ms         3.86%      86.781ms      49.874us       0.000us         0.00%      21.729ms      12.488us          1740  
                                               aten::mm         1.61%      36.255ms         2.45%      55.024ms      31.623us      21.714ms        16.13%      21.729ms      12.488us          1740  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      20.360ms        15.12%      20.360ms      17.491us          1164  
                                            aten::copy_         3.11%      70.022ms         7.42%     166.899ms      13.477us      14.779ms        10.98%      14.781ms       1.194us         12384  
                                               aten::to         0.84%      18.956ms        11.09%     249.601ms      14.669us       0.000us         0.00%      12.458ms       0.732us         17016  
                                         aten::_to_copy         2.12%      47.689ms        10.25%     230.645ms      22.881us       0.000us         0.00%      12.458ms       1.236us         10080  
                                              aten::mul         3.02%      68.024ms         5.22%     117.422ms      13.515us      10.887ms         8.09%      10.889ms       1.253us          8688  
                                     aten::index_select         1.34%      30.077ms         3.17%      71.427ms      20.596us       9.935ms         7.38%       9.935ms       2.865us          3468  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       8.307ms         6.17%       8.307ms       1.595us          5208  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       6.844ms         5.08%       6.844ms       3.961us          1728  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.126ms         4.55%       6.126ms       1.519us          4032  
                                              aten::add         1.78%      40.084ms         2.97%      66.859ms      13.894us       4.144ms         3.08%       4.144ms       0.861us          4812  
                                             aten::topk         0.35%       7.975ms         0.72%      16.196ms      28.119us       3.548ms         2.64%       3.548ms       6.159us           576  
                                             aten::mean         1.05%      23.622ms         1.62%      36.548ms      15.780us       3.430ms         2.55%       3.430ms       1.481us          2316  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.430ms         2.55%       3.430ms       1.481us          2316  
