profiled decode steps: 47 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        2.184s      1807.06%        2.184s     181.989ms            12  
                                          ProfilerStep*        44.76%     978.917ms       100.00%        2.187s     182.233ms       0.000us         0.00%      81.728ms       6.811ms            12  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      35.257ms        29.17%      35.257ms      30.605us          1152  
                                           aten::matmul         0.42%       9.208ms         3.23%      70.730ms      40.371us       0.000us         0.00%      21.808ms      12.448us          1752  
                                           aten::linear         0.19%       4.162ms         3.93%      85.879ms      49.356us       0.000us         0.00%      21.795ms      12.526us          1740  
                                               aten::mm         1.74%      38.142ms         2.56%      56.000ms      32.184us      21.795ms        18.03%      21.795ms      12.526us          1740  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      20.441ms        16.91%      20.441ms      17.561us          1164  
                                               aten::to         0.72%      15.674ms        11.81%     258.328ms      15.713us       0.000us         0.00%      12.270ms       0.746us         16440  
                                         aten::_to_copy         2.02%      44.261ms        11.10%     242.654ms      24.073us       0.000us         0.00%      12.270ms       1.217us         10080  
                                            aten::copy_         2.84%      62.034ms         6.68%     146.077ms      14.492us      12.270ms        10.15%      12.270ms       1.217us         10080  
                                              aten::mul         2.75%      60.052ms         4.92%     107.532ms      14.269us       9.427ms         7.80%       9.429ms       1.251us          7536  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       7.507ms         6.21%       7.507ms       1.621us          4632  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.246ms         4.34%       5.246ms       1.518us          3456  
                                              aten::add         2.03%      44.368ms         3.46%      75.582ms      15.707us       4.176ms         3.46%       4.176ms       0.868us          4812  
                                             aten::topk         0.38%       8.310ms         0.82%      17.976ms      31.209us       3.540ms         2.93%       3.540ms       6.146us           576  
                                             aten::mean         1.14%      24.923ms         1.82%      39.758ms      17.167us       3.423ms         2.83%       3.423ms       1.478us          2316  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.423ms         2.83%       3.423ms       1.478us          2316  
                                      aten::index_copy_         0.89%      19.387ms         1.72%      37.657ms      16.344us       3.408ms         2.82%       3.408ms       1.479us          2304  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.408ms         2.82%       3.408ms       1.479us          2304  
