  baked layer 0 (1/24, 0.42 GB, 1s)
  baked layer 1 (2/24, 0.85 GB, 1s)
  baked layer 2 (3/24, 1.27 GB, 2s)
  baked layer 3 (4/24, 1.69 GB, 2s)
  baked layer 4 (5/24, 2.12 GB, 3s)
  baked layer 5 (6/24, 2.54 GB, 4s)
  baked layer 6 (7/24, 2.96 GB, 5s)
  baked layer 7 (8/24, 3.38 GB, 5s)
  baked layer 8 (9/24, 3.81 GB, 6s)
  baked layer 9 (10/24, 4.23 GB, 7s)
  baked layer 10 (11/24, 4.65 GB, 8s)
  baked layer 11 (12/24, 5.08 GB, 8s)
  baked layer 12 (13/24, 5.50 GB, 9s)
  baked layer 13 (14/24, 5.92 GB, 10s)
  baked layer 14 (15/24, 6.35 GB, 11s)
  baked layer 15 (16/24, 6.77 GB, 12s)
  baked layer 16 (17/24, 7.19 GB, 12s)
  baked layer 17 (18/24, 7.62 GB, 13s)
  baked layer 18 (19/24, 8.04 GB, 14s)
  baked layer 19 (20/24, 8.46 GB, 14s)
  baked layer 20 (21/24, 8.89 GB, 15s)
  baked layer 21 (22/24, 9.31 GB, 16s)
  baked layer 22 (23/24, 9.73 GB, 17s)
  baked layer 23 (24/24, 10.15 GB, 17s)
bake complete: 768 rows x 13221888 B (10.15 GB) in 20s
