profiled decode steps: 47 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       79.489s      4834.55%       79.489s        6.624s            12  
                                          ProfilerStep*         5.16%        4.106s       100.00%       79.516s        6.626s       0.000us         0.00%        1.449s     120.772ms            12  
                                            aten::copy_         0.20%     157.554ms         2.29%        1.817s     381.126us        1.357s        82.55%        1.357s     284.666us          4768  
                                               aten::to         0.04%      27.897ms         2.52%        2.003s     264.356us       0.000us         0.00%        1.357s     179.096us          7576  
                                         aten::_to_copy         0.13%     102.986ms         2.48%        1.975s     460.555us       0.000us         0.00%        1.357s     316.425us          4288  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        1.347s        81.94%        1.347s       2.372ms           568  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us     189.335ms        11.52%     189.335ms     493.061us           384  
                                           aten::matmul         0.03%      24.999ms         0.25%     197.940ms     201.159us       0.000us         0.00%      42.765ms      43.460us           984  
                                           aten::linear         0.01%       7.494ms         0.27%     217.197ms     223.453us       0.000us         0.00%      42.738ms      43.969us           972  
                                               aten::mm         0.15%     115.835ms         0.21%     165.159ms     169.916us      42.738ms         2.60%      42.738ms      43.969us           972  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      32.527ms         1.98%      32.527ms      42.352us           768  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       9.346ms         0.57%       9.346ms     778.797us            12  
                                              aten::mul         0.18%     145.754ms         0.25%     197.009ms      72.006us       7.207ms         0.44%       7.207ms       2.634us          2736  
                                     aten::index_select        89.52%       71.183s        89.65%       71.285s      30.779ms       6.211ms         0.38%       6.211ms       2.682us          2316  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.715ms         0.35%       5.715ms       3.451us          1656  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       4.939ms         0.30%       4.939ms      25.726us           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       3.260ms         0.20%       3.260ms       4.245us           768  
                                             aten::mean         0.02%      16.606ms         0.06%      47.552ms      60.964us       3.250ms         0.20%       3.250ms       4.167us           780  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.250ms         0.20%       3.250ms       4.167us           780  
