profiled decode steps: 47 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       10.122s      1133.18%       10.122s     843.524ms            12  
                                          ProfilerStep*         8.77%     888.199ms       100.00%       10.125s     843.777ms       0.000us         0.00%     714.889ms      59.574ms            12  
                                            aten::copy_         0.51%      51.386ms         6.96%     704.895ms     147.839us     627.385ms        70.24%     627.386ms     131.583us          4768  
                                               aten::to         0.12%      12.568ms         7.60%     769.970ms     101.633us       0.000us         0.00%     626.965ms      82.757us          7576  
                                         aten::_to_copy         0.27%      27.471ms         7.48%     757.402ms     176.633us       0.000us         0.00%     626.965ms     146.214us          4288  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     618.150ms        69.20%     618.150ms       1.088ms           568  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us     173.251ms        19.40%     173.251ms     451.174us           384  
                                           aten::matmul         0.08%       7.840ms         0.54%      54.440ms      55.325us       0.000us         0.00%      42.114ms      42.799us           984  
                                           aten::linear         0.03%       3.444ms         0.64%      65.165ms      67.042us       0.000us         0.00%      42.090ms      43.303us           972  
                                               aten::mm         0.31%      31.399ms         0.41%      41.292ms      42.482us      42.050ms         4.71%      42.090ms      43.303us           972  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      31.897ms         3.57%      31.897ms      41.533us           768  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       9.338ms         1.05%       9.338ms     778.135us            12  
                                              aten::mul         0.32%      32.437ms         0.52%      52.640ms      19.240us       6.660ms         0.75%       6.660ms       2.434us          2736  
                                     aten::index_select        77.48%        7.845s        77.79%        7.877s       3.401ms       5.745ms         0.64%       5.745ms       2.481us          2316  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.263ms         0.59%       5.263ms       3.178us          1656  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       4.549ms         0.51%       4.549ms      23.694us           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       3.026ms         0.34%       3.026ms       3.940us           768  
                                             aten::mean         0.13%      12.872ms         0.29%      28.963ms      37.133us       2.983ms         0.33%       2.983ms       3.825us           780  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.983ms         0.33%       2.983ms       3.825us           780  
