profiled decode steps: 47 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.322s       587.24%        1.322s     110.186ms            12  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us     144.215ms        64.05%     144.215ms     375.560us           384  
                                          ProfilerStep*        47.39%     628.537ms       100.00%        1.326s     110.522ms       0.000us         0.00%      76.340ms       6.362ms            12  
                                           aten::matmul         0.86%      11.347ms         5.49%      72.800ms      73.984us       0.000us         0.00%      40.876ms      41.541us           984  
                                           aten::linear         0.36%       4.765ms         6.57%      87.158ms      89.669us       0.000us         0.00%      40.855ms      42.032us           972  
                                               aten::mm         3.22%      42.749ms         4.11%      54.481ms      56.050us      40.855ms        18.15%      40.855ms      42.032us           972  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      30.812ms        13.68%      30.812ms      40.119us           768  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       9.320ms         4.14%       9.320ms     776.706us            12  
                                               aten::to         0.63%       8.348ms        10.40%     137.977ms      24.816us       0.000us         0.00%       6.860ms       1.234us          5560  
                                         aten::_to_copy         1.94%      25.740ms         9.77%     129.630ms      37.859us       0.000us         0.00%       6.860ms       2.003us          3424  
                                            aten::copy_         2.49%      33.069ms         5.80%      76.980ms      22.482us       6.860ms         3.05%       6.860ms       2.003us          3424  
                                              aten::mul         2.85%      37.765ms         4.54%      60.199ms      23.663us       5.414ms         2.40%       5.414ms       2.128us          2544  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.168ms         1.85%       4.168ms       2.672us          1560  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       3.883ms         1.72%       3.883ms      20.225us           192  
                                             aten::mean         1.20%      15.964ms         1.77%      23.471ms      30.091us       2.559ms         1.14%       2.559ms       3.281us           780  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.559ms         1.14%       2.559ms       3.281us           780  
                                              aten::add         2.02%      26.772ms         3.17%      42.062ms      26.093us       2.423ms         1.08%       2.423ms       1.503us          1612  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.234ms         0.99%       2.234ms       2.909us           768  
                                             aten::topk         0.58%       7.658ms         1.07%      14.147ms      73.683us       2.117ms         0.94%       2.117ms      11.026us           192  
