profiled decode steps: 47 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.202s       112.78%        1.202s     100.126ms            12  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     868.451ms        81.52%     868.451ms       4.523ms           192  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us     118.274ms        11.10%     118.274ms     308.006us           384  
                                          ProfilerStep*        36.85%     444.563ms       100.00%        1.206s     100.524ms       0.000us         0.00%      75.554ms       6.296ms            12  
                                           aten::matmul         0.59%       7.084ms         4.01%      48.418ms      49.205us       0.000us         0.00%      39.946ms      40.596us           984  
                                           aten::linear         0.27%       3.275ms         4.80%      57.880ms      59.548us       0.000us         0.00%      39.929ms      41.079us           972  
                                               aten::mm         2.25%      27.188ms         3.01%      36.290ms      37.335us      39.929ms         3.75%      39.929ms      41.079us           972  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      29.975ms         2.81%      29.975ms      39.030us           768  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       9.321ms         0.87%       9.321ms     776.765us            12  
                                            aten::copy_         2.40%      29.005ms        24.36%     293.825ms      73.456us       7.187ms         0.67%       7.189ms       1.797us          4000  
                                               aten::to         0.54%       6.522ms        26.88%     324.275ms      56.376us       0.000us         0.00%       6.030ms       1.048us          5752  
                                         aten::_to_copy         1.48%      17.801ms        26.34%     317.753ms      92.802us       0.000us         0.00%       6.030ms       1.761us          3424  
                                              aten::mul         2.54%      30.608ms         4.22%      50.960ms      17.404us       5.566ms         0.52%       5.568ms       1.902us          2928  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.198ms         0.39%       4.198ms       2.396us          1752  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       3.266ms         0.31%       3.266ms      17.008us           192  
                                     aten::index_select         1.00%      12.110ms         2.15%      25.984ms      26.733us       3.157ms         0.30%       3.157ms       3.248us           972  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.545ms         0.24%       2.545ms       2.651us           960  
                                             aten::mean         0.84%      10.169ms         1.28%      15.463ms      19.824us       2.122ms         0.20%       2.122ms       2.720us           780  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.122ms         0.20%       2.122ms       2.720us           780  
