profiled decode steps: 47 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.108s       579.78%        1.108s      92.321ms            12  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us     117.815ms        61.66%     117.815ms     306.809us           384  
                                          ProfilerStep*        47.15%     523.951ms       100.00%        1.111s      92.608ms       0.000us         0.00%      69.381ms       5.782ms            12  
                                           aten::matmul         0.80%       8.927ms         5.14%      57.081ms      58.009us       0.000us         0.00%      39.750ms      40.396us           984  
                                           aten::linear         0.35%       3.887ms         6.16%      68.492ms      70.465us       0.000us         0.00%      39.733ms      40.877us           972  
                                               aten::mm         2.91%      32.331ms         3.81%      42.299ms      43.517us      39.733ms        20.79%      39.733ms      40.877us           972  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      29.783ms        15.59%      29.783ms      38.780us           768  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       9.312ms         4.87%       9.312ms     776.024us            12  
                                               aten::to         0.66%       7.369ms        10.87%     120.773ms      21.722us       0.000us         0.00%       5.713ms       1.028us          5560  
                                         aten::_to_copy         2.11%      23.484ms        10.20%     113.404ms      33.120us       0.000us         0.00%       5.713ms       1.669us          3424  
                                            aten::copy_         2.56%      28.469ms         5.98%      66.503ms      19.423us       5.713ms         2.99%       5.713ms       1.669us          3424  
                                              aten::mul         2.86%      31.825ms         4.55%      50.586ms      19.885us       4.601ms         2.41%       4.601ms       1.809us          2544  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.488ms         1.83%       3.488ms       2.236us          1560  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       3.254ms         1.70%       3.254ms      16.948us           192  
                                             aten::mean         1.14%      12.624ms         1.69%      18.737ms      24.021us       2.116ms         1.11%       2.116ms       2.712us           780  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.116ms         1.11%       2.116ms       2.712us           780  
                                              aten::add         1.99%      22.144ms         3.13%      34.774ms      21.572us       2.050ms         1.07%       2.050ms       1.272us          1612  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.905ms         1.00%       1.905ms       2.481us           768  
                                             aten::topk         0.50%       5.585ms         0.98%      10.945ms      57.004us       1.755ms         0.92%       1.755ms       9.143us           192  
