profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us     108.640ms       193.21%     108.640ms       1.697ms            64  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      49.177ms        87.46%      49.177ms     384.194us           128  
                                     aten::index_select         4.02%       4.848ms         9.30%      11.212ms      19.466us       2.133ms         3.79%       2.133ms       3.704us           576  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.526ms         2.71%       1.526ms       3.406us           448  
                                            aten::copy_         2.79%       3.358ms         6.54%       7.876ms      13.673us     957.532us         1.70%     957.532us       1.662us           576  
                                          aten::nonzero         3.22%       3.884ms        20.67%      24.910ms     194.607us     712.768us         1.27%     712.768us       5.568us           128  
                                            aten::index         2.48%       2.994ms         4.09%       4.932ms      25.690us     663.771us         1.18%     663.771us       3.457us           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     607.264us         1.08%     607.264us       4.744us           128  
                                              aten::sum         0.92%       1.107ms         1.37%       1.647ms      25.730us     348.320us         0.62%     348.320us       5.442us            64  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     348.320us         0.62%     348.320us       5.442us            64  
                                 aten::_index_put_impl_         0.68%     817.118us         1.27%       1.528ms      23.873us     335.616us         0.60%     335.616us       5.244us            64  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     335.616us         0.60%     335.616us       5.244us            64  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     327.323us         0.58%     327.323us       2.557us           128  
                                      aten::index_copy_         0.71%     854.273us         1.19%       1.440ms      22.494us     305.118us         0.54%     305.118us       4.767us            64  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     305.118us         0.54%     305.118us       4.767us            64  
                                             aten::sort         1.24%       1.495ms         4.87%       5.873ms      91.764us     296.893us         0.53%     607.903us       9.498us            64  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us     296.893us         0.53%     296.893us       4.639us            64  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     247.807us         0.44%     247.807us       1.936us           128  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us     244.482us         0.43%     244.482us       1.910us           128  
