profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us     200.243ms       110.97%     200.243ms       6.258ms            32  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us     160.936ms        89.19%     160.936ms       5.029ms            32  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     145.253ms        80.50%     145.253ms       4.539ms            32  
                                    _gemv_mxfp4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      31.805ms        17.63%      31.805ms     496.958us            64  
                                            aten::copy_         1.03%       2.076ms         2.22%       4.486ms      15.577us     809.054us         0.45%     809.054us       2.809us           288  
                                     aten::index_select         0.80%       1.620ms         1.75%       3.522ms      27.517us     643.845us         0.36%     643.845us       5.030us           128  
                                              aten::sum         0.77%       1.553ms         1.75%       3.526ms      36.729us     397.919us         0.22%     550.146us       5.731us            96  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     389.058us         0.22%     389.058us       6.079us            64  
                                              aten::mul         0.87%       1.751ms         1.41%       2.844ms      14.813us     368.445us         0.20%     368.445us       1.919us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     342.428us         0.19%     342.428us       3.567us            96  
                                            aten::clamp         0.41%     833.744us         0.64%       1.296ms      20.244us     218.716us         0.12%     218.716us       3.417us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     218.716us         0.12%     218.716us       3.417us            64  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     213.568us         0.12%     213.568us       3.337us            64  
                                              aten::add         0.51%       1.020ms         0.79%       1.602ms      16.692us     195.234us         0.11%     195.234us       2.034us            96  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     184.351us         0.10%     184.351us       5.761us            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     152.227us         0.08%     152.227us       2.379us            64  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     141.505us         0.08%     141.505us       4.422us            32  
                                             aten::add_         0.25%     498.897us         0.42%     855.839us      13.372us     133.311us         0.07%     133.311us       2.083us            64  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.311us         0.07%     133.311us       2.083us            64  
