profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us     297.443ms        88.26%     297.443ms       4.648ms            64  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     294.978ms        87.53%     294.978ms       4.609ms            64  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us      40.888ms        12.13%      40.888ms     638.869us            64  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      39.053ms        11.59%      39.053ms     305.100us           128  
                                     aten::index_select         0.67%       2.273ms         5.17%      17.515ms      68.417us       1.072ms         0.32%       1.092ms       4.267us           256  
                                            aten::copy_         0.92%       3.105ms         2.16%       7.333ms      16.368us     897.912us         0.27%     902.648us       2.015us           448  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     867.777us         0.26%     867.777us       4.520us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     354.623us         0.11%     354.623us       2.770us           128  
                                              aten::mul         0.42%       1.420ms         0.73%       2.474ms      19.328us     288.192us         0.09%     290.847us       2.272us           128  
                                              aten::sum         0.25%     835.502us         0.37%       1.266ms      19.782us     285.345us         0.08%     285.345us       4.459us            64  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     285.345us         0.08%     285.345us       4.459us            64  
                                             aten::silu         0.27%     916.635us         0.42%       1.435ms      22.416us     260.736us         0.08%     260.736us       4.074us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     260.736us         0.08%     260.736us       4.074us            64  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     204.612us         0.06%     204.612us       3.197us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     193.376us         0.06%     193.376us       3.021us            64  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     192.126us         0.06%     192.126us       1.501us           128  
                                            aten::where         0.38%       1.302ms         0.70%       2.370ms      18.519us     179.486us         0.05%     179.486us       1.402us           128  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     179.486us         0.05%     179.486us       1.402us           128  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     172.576us         0.05%     172.576us       2.697us            64  
