profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us        2.520s       628.11%        2.520s      39.376ms            64  
                                          e4b::p66.cold         0.00%       0.000us         0.00%       0.000us       0.000us        2.349s       585.60%        2.349s      36.711ms            64  
                                            aten::copy_         0.84%      21.334ms        14.95%     381.014ms     240.539us     319.441ms        79.62%     319.441ms     201.667us          1584  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     317.114ms        79.04%     317.114ms     990.983us           320  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      69.075ms        17.22%      69.075ms     274.108us           252  
                                     aten::index_select        50.41%        1.285s        51.56%        1.314s     740.700us       4.348ms         1.08%       4.348ms       2.451us          1774  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       3.283ms         0.82%       3.283ms       3.470us           946  
                                          aten::nonzero         0.73%      18.721ms         1.36%      34.674ms     135.445us       1.752ms         0.44%       1.752ms       6.842us           256  
                                            aten::index         0.45%      11.515ms         1.23%      31.420ms      70.765us       1.627ms         0.41%       2.462ms       5.545us           444  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.065ms         0.27%       1.065ms       4.226us           252  
                                 aten::_index_put_impl_         0.10%       2.611ms         0.34%       8.736ms      69.335us     822.623us         0.21%     822.623us       6.529us           126  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     822.623us         0.21%     822.623us       6.529us           126  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     785.690us         0.20%     785.690us       3.118us           252  
                                             aten::sort         0.27%       6.808ms         0.88%      22.465ms     118.237us     633.374us         0.16%       1.414ms       7.444us           190  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us     633.374us         0.16%     633.374us       5.811us           109  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     597.254us         0.15%     597.254us       1.580us           378  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     592.705us         0.15%     592.705us       2.352us           252  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     592.606us         0.15%     592.606us       4.703us           126  
                                      aten::index_copy_         0.12%       2.951ms         0.19%       4.831ms      38.345us     586.073us         0.15%     586.073us       4.651us           126  
