profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us     818.084ms       311.42%     818.084ms      25.565ms            32  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us     772.206ms       293.95%     772.206ms      24.131ms            32  
                                       e4b::p66.resolve         0.00%       0.000us         0.00%       0.000us       0.000us     508.296ms       193.49%     508.296ms      15.884ms            32  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     227.711ms        86.68%     227.711ms       7.116ms            32  
                                    _gemv_mxfp4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      31.711ms        12.07%      31.711ms     495.490us            64  
                                            aten::copy_         0.63%       5.178ms         1.49%      12.215ms      23.857us     868.275us         0.33%     868.275us       1.696us           512  
                                     aten::index_select         0.25%       2.059ms         0.51%       4.199ms      43.743us     501.725us         0.19%     501.725us       5.226us            96  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     387.837us         0.15%     387.837us       6.060us            64  
                                              aten::sum         0.30%       2.473ms         0.66%       5.427ms      56.531us     387.359us         0.15%     536.990us       5.594us            96  
                                              aten::mul         0.32%       2.641ms         0.52%       4.248ms      22.125us     365.025us         0.14%     365.025us       1.901us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     340.926us         0.13%     340.926us       3.551us            96  
                                            aten::clamp         0.15%       1.261ms         0.23%       1.887ms      29.489us     216.638us         0.08%     216.638us       3.385us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     216.638us         0.08%     216.638us       3.385us            64  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     210.847us         0.08%     210.847us       3.294us            64  
                                              aten::add         0.20%       1.623ms         0.33%       2.737ms      28.510us     190.973us         0.07%     190.973us       1.989us            96  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     176.512us         0.07%     176.512us       5.516us            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     149.631us         0.06%     149.631us       2.338us            64  
                                              aten::any         0.09%     733.500us         0.14%       1.106ms      34.563us     132.929us         0.05%     132.929us       4.154us            32  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     132.929us         0.05%     132.929us       4.154us            32  
