profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us     575.561ms       328.05%     575.561ms      17.986ms            32  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us     540.489ms       308.06%     540.489ms      16.890ms            32  
                                       e4b::p66.resolve         0.00%       0.000us         0.00%       0.000us       0.000us     360.478ms       205.46%     360.478ms      11.265ms            32  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     147.870ms        84.28%     147.870ms       4.621ms            32  
                                    _gemv_mxfp4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      25.225ms        14.38%      25.225ms     394.148us            64  
                                            aten::copy_         0.77%       4.445ms         1.84%      10.618ms      20.739us     628.893us         0.36%     628.893us       1.228us           512  
                                     aten::index_select         0.32%       1.854ms         0.64%       3.696ms      38.498us     380.702us         0.22%     380.702us       3.966us            96  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     299.102us         0.17%     299.102us       4.673us            64  
                                              aten::sum         0.37%       2.144ms         0.83%       4.803ms      50.036us     274.078us         0.16%     375.487us       3.911us            96  
                                              aten::mul         0.40%       2.275ms         0.65%       3.722ms      19.388us     252.200us         0.14%     252.200us       1.314us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     248.476us         0.14%     248.476us       2.588us            96  
                                            aten::clamp         0.19%       1.085ms         0.29%       1.690ms      26.402us     152.414us         0.09%     152.414us       2.381us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     152.414us         0.09%     152.414us       2.381us            64  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     146.815us         0.08%     146.815us       2.294us            64  
                                              aten::add         0.24%       1.393ms         0.37%       2.144ms      22.332us     138.432us         0.08%     138.432us       1.442us            96  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     127.263us         0.07%     127.263us       3.977us            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     101.409us         0.06%     101.409us       1.585us            64  
                                              aten::any         0.12%     687.470us         0.18%       1.018ms      31.797us      94.523us         0.05%      94.523us       2.954us            32  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      94.523us         0.05%      94.523us       2.954us            32  
