profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us     204.839ms       116.74%     204.839ms       6.401ms            32  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us     170.697ms        97.28%     170.697ms       5.334ms            32  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     148.913ms        84.86%     148.913ms       4.654ms            32  
                                    _gemv_mxfp4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      24.319ms        13.86%      24.319ms     379.982us            64  
                                            aten::copy_         1.39%       2.844ms         3.04%       6.242ms      21.672us     540.130us         0.31%     540.130us       1.875us           288  
                                     aten::index_select         1.14%       2.344ms         2.44%       5.007ms      39.115us     455.043us         0.26%     455.043us       3.555us           128  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     284.067us         0.16%     284.067us       4.439us            64  
                                              aten::sum         1.09%       2.243ms         2.40%       4.922ms      51.273us     255.198us         0.15%     347.230us       3.617us            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     234.847us         0.13%     234.847us       2.446us            96  
                                              aten::mul         1.19%       2.440ms         1.96%       4.027ms      20.972us     232.192us         0.13%     232.192us       1.209us           192  
                                            aten::clamp         0.62%       1.275ms         0.93%       1.904ms      29.755us     141.696us         0.08%     141.696us       2.214us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     141.696us         0.08%     141.696us       2.214us            64  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     132.703us         0.08%     132.703us       2.073us            64  
                                              aten::add         0.71%       1.461ms         1.12%       2.304ms      24.004us     129.317us         0.07%     129.317us       1.347us            96  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     122.495us         0.07%     122.495us       3.828us            32  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      95.934us         0.05%      95.934us       2.998us            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      92.032us         0.05%      92.032us       1.438us            64  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      88.260us         0.05%      88.260us       1.379us            64  
                                             aten::add_         0.32%     664.136us         0.55%       1.121ms      17.519us      86.556us         0.05%      86.556us       1.352us            64  
