profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us      66.321ms       137.49%      66.321ms       2.073ms            32  
                                    _gemv_mxfp4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      31.817ms        65.96%      31.817ms     497.136us            64  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us      28.936ms        59.99%      28.936ms     904.260us            32  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us      13.045ms        27.04%      13.045ms     407.666us            32  
                                            aten::copy_         3.16%       2.158ms         6.78%       4.640ms      16.110us     801.526us         1.66%     801.526us       2.783us           288  
                                     aten::index_select         2.28%       1.559ms         5.33%       3.642ms      28.454us     643.363us         1.33%     643.363us       5.026us           128  
                                              aten::sum         2.24%       1.535ms         5.28%       3.610ms      37.602us     393.373us         0.82%     543.705us       5.664us            96  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     390.113us         0.81%     390.113us       6.096us            64  
                                              aten::mul         2.72%       1.860ms         4.55%       3.110ms      16.197us     366.940us         0.76%     366.940us       1.911us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     343.229us         0.71%     343.229us       3.575us            96  
                                            aten::clamp         1.27%     867.974us         1.99%       1.362ms      21.283us     218.430us         0.45%     218.430us       3.413us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     218.430us         0.45%     218.430us       3.413us            64  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     211.040us         0.44%     211.040us       3.298us            64  
                                              aten::add         2.07%       1.415ms         3.00%       2.053ms      21.389us     195.873us         0.41%     195.873us       2.040us            96  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     182.333us         0.38%     182.333us       5.698us            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     150.332us         0.31%     150.332us       2.349us            64  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     140.417us         0.29%     140.417us       4.388us            32  
                                             aten::add_         0.77%     529.405us         1.33%     909.991us      14.219us     132.288us         0.27%     132.288us       2.067us            64  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.288us         0.27%     132.288us       2.067us            64  
