profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.fetch         0.00%       0.000us         0.00%       0.000us       0.000us     301.508ms        88.23%     301.508ms       4.711ms            64  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     299.924ms        87.77%     299.924ms       4.686ms            64  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us      41.112ms        12.03%      41.112ms     642.372us            64  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      39.272ms        11.49%      39.272ms     306.810us           128  
                                            aten::copy_         0.74%       2.525ms         1.70%       5.851ms      15.236us     819.733us         0.24%     821.109us       2.138us           384  
                                     aten::index_select         0.46%       1.566ms         1.12%       3.830ms      19.949us     769.120us         0.23%     769.120us       4.006us           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     564.064us         0.17%     564.064us       4.407us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     358.455us         0.10%     358.455us       2.800us           128  
                                              aten::mul         0.37%       1.273ms         0.59%       2.038ms      15.921us     291.903us         0.09%     291.903us       2.280us           128  
                                              aten::sum         0.21%     728.981us         0.32%       1.105ms      17.262us     284.763us         0.08%     284.763us       4.449us            64  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     284.763us         0.08%     284.763us       4.449us            64  
                                             aten::silu         0.25%     847.428us         0.38%       1.317ms      20.584us     257.920us         0.08%     257.920us       4.030us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     257.920us         0.08%     257.920us       4.030us            64  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     205.056us         0.06%     205.056us       3.204us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     203.680us         0.06%     203.680us       3.183us            64  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     188.801us         0.06%     188.801us       1.475us           128  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     174.625us         0.05%     174.625us       2.729us            64  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     117.278us         0.03%     117.278us       1.832us            64  
                                            aten::where         0.18%     607.367us         0.37%       1.273ms      19.884us      90.912us         0.03%      90.912us       1.421us            64  
