profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.token         0.00%       0.000us         0.00%       0.000us       0.000us     184.505ms        99.99%     184.505ms      46.126ms             4  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us     142.847ms        77.42%     142.847ms       2.232ms            64  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      39.135ms        21.21%      39.135ms     305.741us           128  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     813.429us         0.44%     813.429us       4.237us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     283.966us         0.15%     283.966us       2.218us           128  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     205.853us         0.11%     205.853us       3.216us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     190.399us         0.10%     190.399us       2.975us            64  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     178.139us         0.10%     178.139us       2.783us            64  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     169.900us         0.09%     169.900us       1.327us           128  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     164.514us         0.09%     164.514us       1.210us           136  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     164.413us         0.09%     164.413us       2.569us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     136.606us         0.07%     136.606us       2.134us            64  
                                         e4b::p66.input         0.00%       0.000us         0.00%       0.000us       0.000us     112.063us         0.06%     112.063us      28.016us             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      86.275us         0.05%      86.275us       1.348us            64  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      74.944us         0.04%      74.944us       1.171us            64  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.921us         0.04%      65.921us       1.030us            64  
                                            aten::copy_         0.05%      86.987us         0.31%     582.225us      72.778us      13.538us         0.01%      15.554us       1.944us             8  
                                Activity Buffer Request         0.08%     142.359us         0.08%     142.359us     142.359us       2.016us         0.00%       2.016us       2.016us             1  
                                         e4b::p66.token         0.12%     223.435us         1.69%       3.146ms     786.592us       0.000us         0.00%      15.554us       3.888us             4  
                                         e4b::p66.input         0.15%     276.735us         0.51%     941.782us     235.446us       0.000us         0.00%      15.554us       3.888us             4  
                                           aten::select         0.04%      65.533us         0.05%      83.958us       6.996us       0.000us         0.00%       0.000us       0.000us            12  
                                       aten::as_strided         0.01%      21.546us         0.01%      21.546us       1.077us       0.000us         0.00%       0.000us       0.000us            20  
                                        aten::unsqueeze         0.01%      20.303us         0.01%      23.424us       2.928us       0.000us         0.00%       0.000us       0.000us             8  
                                        cudaMemcpyAsync         0.19%     352.879us         0.19%     352.879us      44.110us       0.000us         0.00%       0.000us       0.000us             8  
                                  cudaStreamIsCapturing         0.00%       4.568us         0.00%       4.568us       1.142us       0.000us         0.00%       0.000us       0.000us             4  
                                        cudaGraphLaunch         1.06%       1.976ms         1.06%       1.976ms     494.049us       0.000us         0.00%       0.000us       0.000us             4  
                                   cudaDriverGetVersion         0.00%       0.387us         0.00%       0.387us       0.097us       0.000us         0.00%       0.000us       0.000us             4  
                                     aten::resolve_conj         0.00%       1.011us         0.00%       1.011us       0.253us       0.000us         0.00%       0.000us       0.000us             4  
                                      aten::resolve_neg         0.00%       0.431us         0.00%       0.431us       0.108us       0.000us         0.00%       0.000us       0.000us             4  
                                  cudaDeviceSynchronize        98.29%     182.750ms        98.29%     182.750ms      91.375ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 185.923ms
Self CUDA time total: 184.516ms
