profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.token         0.00%       0.000us         0.00%       0.000us       0.000us      92.527ms        99.99%      92.527ms      23.132ms             4  
                                      _gather_rows_addr         0.00%       0.000us         0.00%       0.000us       0.000us      50.901ms        55.01%      50.901ms     795.326us            64  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      39.131ms        42.29%      39.131ms     305.714us           128  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     784.122us         0.85%     784.122us       4.084us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     281.918us         0.30%     281.918us       2.202us           128  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     205.729us         0.22%     205.729us       3.215us            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     190.109us         0.21%     190.109us       2.970us            64  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     179.838us         0.19%     179.838us       2.810us            64  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     170.431us         0.18%     170.431us       1.331us           128  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     163.390us         0.18%     163.390us       2.553us            64  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     159.423us         0.17%     159.423us       1.172us           136  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     137.119us         0.15%     137.119us       2.142us            64  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      86.496us         0.09%      86.496us       1.352us            64  
                                         e4b::p66.input         0.00%       0.000us         0.00%       0.000us       0.000us      78.912us         0.09%      78.912us      19.728us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      75.233us         0.08%      75.233us       1.176us            64  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      66.241us         0.07%      66.241us       1.035us            64  
                                            aten::copy_         0.08%      71.074us         0.52%     488.802us      61.100us      13.665us         0.01%      15.681us       1.960us             8  
                                Activity Buffer Request         0.14%     131.455us         0.14%     131.455us     131.455us       2.016us         0.00%       2.016us       2.016us             1  
                                         e4b::p66.token         0.18%     171.255us         2.69%       2.518ms     629.602us       0.000us         0.00%      15.681us       3.920us             4  
                                         e4b::p66.input         0.24%     227.285us         0.85%     792.425us     198.106us       0.000us         0.00%      15.681us       3.920us             4  
                                           aten::select         0.06%      57.884us         0.08%      74.100us       6.175us       0.000us         0.00%       0.000us       0.000us            12  
                                       aten::as_strided         0.02%      19.530us         0.02%      19.530us       0.977us       0.000us         0.00%       0.000us       0.000us            20  
                                        aten::unsqueeze         0.02%      19.006us         0.02%      22.320us       2.790us       0.000us         0.00%       0.000us       0.000us             8  
                                        cudaMemcpyAsync         0.31%     286.273us         0.31%     286.273us      35.784us       0.000us         0.00%       0.000us       0.000us             8  
                                  cudaStreamIsCapturing         0.00%       4.328us         0.00%       4.328us       1.082us       0.000us         0.00%       0.000us       0.000us             4  
                                        cudaGraphLaunch         1.65%       1.550ms         1.65%       1.550ms     387.496us       0.000us         0.00%       0.000us       0.000us             4  
                                   cudaDriverGetVersion         0.00%       0.417us         0.00%       0.417us       0.104us       0.000us         0.00%       0.000us       0.000us             4  
                                     aten::resolve_conj         0.00%       0.970us         0.00%       0.970us       0.243us       0.000us         0.00%       0.000us       0.000us             4  
                                      aten::resolve_neg         0.00%       0.283us         0.00%       0.283us       0.071us       0.000us         0.00%       0.000us       0.000us             4  
                                  cudaDeviceSynchronize        97.29%      91.134ms        97.29%      91.134ms      45.567ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 93.674ms
Self CUDA time total: 92.532ms
