profiled decode steps: 4 (active window: 4/4)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         e4b::p66.layer         0.00%       0.000us         0.00%       0.000us       0.000us      65.078ms       101.18%      65.078ms       1.017ms            64  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us      63.121ms        98.14%      63.121ms     493.131us           128  
                                            aten::copy_         2.27%       1.514ms         4.63%       3.081ms      16.045us     461.374us         0.72%     461.374us       2.403us           192  
                                     aten::index_select         1.34%     889.788us         5.16%       3.438ms      53.713us     371.007us         0.58%     377.439us       5.897us            64  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     371.007us         0.58%     371.007us       5.797us            64  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     273.727us         0.43%     273.727us       2.138us           128  
                                          _combine_rows         0.00%       0.000us         0.00%       0.000us       0.000us     191.486us         0.30%     191.486us       2.992us            64  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     187.647us         0.29%     187.647us       2.932us            64  
                                           _swiglu_rows         0.00%       0.000us         0.00%       0.000us       0.000us     171.453us         0.27%     171.453us       2.679us            64  
                                       cuLaunchKernelEx         3.08%       2.050ms         3.08%       2.050ms       8.009us      26.816us         0.04%      26.816us       0.105us           256  
                                Activity Buffer Request         1.87%       1.244ms         1.87%       1.244ms       1.244ms       6.432us         0.01%       6.432us       6.432us             1  
                                         e4b::p66.token         1.74%       1.159ms        63.77%      42.463ms      10.616ms       0.000us         0.00%     865.629us     216.407us             4  
                                         e4b::p66.layer        38.98%      25.960ms        62.03%      41.304ms     645.381us       0.000us         0.00%     865.629us      13.525us            64  
                                           aten::select         1.11%     740.425us         1.42%     944.343us       3.632us       0.000us         0.00%       0.000us       0.000us           260  
                                       aten::as_strided         0.60%     398.547us         0.60%     398.547us       0.772us       0.000us         0.00%       0.000us       0.000us           516  
                                        aten::unsqueeze         0.52%     347.058us         0.59%     394.936us       3.085us       0.000us         0.00%       0.000us       0.000us           128  
                                               aten::to         0.60%     402.163us         8.05%       5.364ms      13.968us       0.000us         0.00%     461.374us       1.201us           384  
                                          aten::reshape         0.42%     279.211us         1.00%     662.967us       5.179us       0.000us         0.00%       0.000us       0.000us           128  
                                             aten::view         0.58%     383.756us         0.58%     383.756us       2.998us       0.000us         0.00%       0.000us       0.000us           128  
                                            aten::empty         2.67%       1.777ms         2.67%       1.777ms       5.553us       0.000us         0.00%       0.000us       0.000us           320  
                                          aten::resize_         0.35%     235.423us         0.35%     235.423us       3.678us       0.000us         0.00%       0.000us       0.000us            64  
                                       cudaLaunchKernel         3.47%       2.309ms         3.47%       2.309ms       9.019us       0.000us         0.00%       0.000us       0.000us           256  
                                         aten::_to_copy         1.09%     726.923us         7.45%       4.961ms      25.841us       0.000us         0.00%     461.374us       2.403us           192  
                                    aten::empty_strided         1.73%       1.154ms         1.73%       1.154ms       6.010us       0.000us         0.00%       0.000us       0.000us           192  
                                            aten::chunk         0.23%     154.111us         1.60%       1.066ms      16.652us       0.000us         0.00%       0.000us       0.000us            64  
                                            aten::split         0.50%     334.003us         1.37%     911.593us      14.244us       0.000us         0.00%       0.000us       0.000us            64  
                                           aten::narrow         0.34%     225.601us         0.87%     577.590us       4.512us       0.000us         0.00%       0.000us       0.000us           128  
                                            aten::slice         0.31%     205.238us         0.53%     351.989us       2.750us       0.000us         0.00%       0.000us       0.000us           128  
                                     aten::resolve_conj         0.00%       1.682us         0.00%       1.682us       0.420us       0.000us         0.00%       0.000us       0.000us             4  
                                      aten::resolve_neg         0.00%       0.863us         0.00%       0.863us       0.216us       0.000us         0.00%       0.000us       0.000us             4  
                                  cudaDeviceSynchronize        36.19%      24.102ms        36.19%      24.102ms      12.051ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 66.592ms
Self CUDA time total: 64.316ms
