profiled decode steps: 47 (active window: 12/12)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.172s       492.26%        1.172s      97.653ms            12  
                                      _gemv_nf4_grouped         0.00%       0.000us         0.00%       0.000us       0.000us     148.299ms        62.30%     148.299ms     386.196us           384  
                                          ProfilerStep*        46.60%     547.812ms       100.00%        1.176s      97.972ms       0.000us         0.00%      85.202ms       7.100ms            12  
                                           aten::matmul         0.75%       8.809ms         5.32%      62.555ms      63.572us       0.000us         0.00%      41.202ms      41.872us           984  
                                           aten::linear         0.36%       4.243ms         6.34%      74.582ms      76.730us       0.000us         0.00%      41.181ms      42.368us           972  
                                               aten::mm         3.19%      37.498ms         4.06%      47.760ms      49.136us      41.181ms        17.30%      41.181ms      42.368us           972  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      31.119ms        13.07%      31.119ms      40.520us           768  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       9.326ms         3.92%       9.326ms     777.176us            12  
                                            aten::copy_         2.77%      32.574ms         6.66%      78.333ms      18.686us       8.693ms         3.65%       8.693ms       2.074us          4192  
                                               aten::to         0.62%       7.248ms         9.26%     108.854ms      18.924us       0.000us         0.00%       7.331ms       1.274us          5752  
                                         aten::_to_copy         1.68%      19.767ms         8.64%     101.605ms      29.674us       0.000us         0.00%       7.331ms       2.141us          3424  
                                              aten::mul         2.88%      33.819ms         4.67%      54.857ms      18.735us       6.529ms         2.74%       6.529ms       2.230us          2928  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.077ms         2.13%       5.077ms       2.898us          1752  
                                     aten::index_select         1.35%      15.891ms         2.89%      33.946ms      29.163us       4.718ms         1.98%       4.718ms       4.054us          1164  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       3.967ms         1.67%       3.967ms      20.663us           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       2.974ms         1.25%       2.974ms       5.163us           576  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.917ms         1.23%       2.917ms       3.038us           960  
                                             aten::mean         1.03%      12.155ms         1.53%      18.036ms      23.123us       2.556ms         1.07%       2.556ms       3.277us           780  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.556ms         1.07%       2.556ms       3.277us           780  
