model,experiment,mode,offload,metric,value,error,unit,evidence,host
OLMoE-1B-7B,grid_train,nf4,False,peak_gpu,5.28,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,nf4,False,s_per_step,12.4,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,nf4,False,best_eval,1.0289,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,nf4,True,peak_gpu,2.52,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,nf4,True,s_per_step,16.7,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,nf4,True,best_eval,1.0304,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,nf4,False,tok_s,10.12,,tok/s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,nf4,False,peak_gpu,4.72,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_before_eval,nf4,,before_train_eval,1.4905,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp4,False,peak_gpu,5.28,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp4,False,s_per_step,14.0,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp4,False,best_eval,1.0293,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp4,True,peak_gpu,2.52,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp4,True,s_per_step,16.5,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp4,True,best_eval,1.0297,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,fp4,False,tok_s,12.59,,tok/s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,fp4,False,peak_gpu,4.72,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_before_eval,fp4,,before_train_eval,1.5041,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,int8,False,peak_gpu,8.5,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,int8,False,s_per_step,12.1,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,int8,False,best_eval,1.0245,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,int8,True,peak_gpu,2.72,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,int8,True,s_per_step,18.5,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,int8,True,best_eval,1.014,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,int8,False,tok_s,9.35,,tok/s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,int8,False,peak_gpu,7.95,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_before_eval,int8,,before_train_eval,1.4811,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp8,False,peak_gpu,8.5,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp8,False,s_per_step,13.8,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp8,False,best_eval,1.0204,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp8,True,peak_gpu,2.72,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp8,True,s_per_step,19.3,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp8,True,best_eval,1.0281,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,fp8,False,tok_s,9.35,,tok/s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,fp8,False,peak_gpu,7.95,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_before_eval,fp8,,before_train_eval,1.4724,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,bf16,False,peak_gpu,14.54,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,bf16,False,s_per_step,11.0,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,bf16,False,best_eval,1.022,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,bf16,True,peak_gpu,2.41,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,bf16,True,s_per_step,20.8,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,bf16,True,best_eval,1.0112,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,bf16,False,tok_s,13.26,,tok/s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,bf16,False,peak_gpu,13.99,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_before_eval,bf16,,before_train_eval,1.4818,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp16,False,peak_gpu,14.54,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp16,False,s_per_step,11.2,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp16,False,best_eval,1.0194,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp16,True,peak_gpu,2.41,,GB,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp16,True,s_per_step,20.5,,s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_train,fp16,True,best_eval,1.0181,,loss,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,fp16,False,tok_s,12.57,,tok/s,single-run,RunPod RTX A5000 24GB
OLMoE-1B-7B,grid_decode,fp16,False,peak_gpu,13.99,,GB,single-run,RunPod RTX A5000 24GB
